Age,qx,time_unit,subphylum
0,1e-05,years,VertNonMammal
1,1e-05,years,VertNonMammal
2,0.11721611721611724,years,VertNonMammal
3,0.14937759336099588,years,VertNonMammal
4,0.20000000000000007,years,VertNonMammal
5,0.1402439024390243,years,VertNonMammal
6,0.26950354609929084,years,VertNonMammal
7,0.2524271844660194,years,VertNonMammal
8,0.16883116883116878,years,VertNonMammal
9,0.15625,years,VertNonMammal
10,0.12962962962962965,years,VertNonMammal
11,0.14893617021276595,years,VertNonMammal
12,0.25,years,VertNonMammal
13,0.23333333333333328,years,VertNonMammal
14,0.30434782608695654,years,VertNonMammal
