Age,qx,time_unit,subphylum
1,0.09214175400000002,years,PlantNonTree
2,0.09454757433574046,years,PlantNonTree
3,0.09700950126482621,years,PlantNonTree
4,0.0995284851744378,years,PlantNonTree
5,0.10210548251263418,years,PlantNonTree
6,0.10474144316257084,years,PlantNonTree
7,0.10743730924816042,years,PlantNonTree
8,0.11019402611796414,years,PlantNonTree
9,0.11301251552598723,years,PlantNonTree
10,0.11589371026865036,years,PlantNonTree
11,0.11883851596402162,years,PlantNonTree
12,0.12184783494917673,years,PlantNonTree
13,0.12492255558189636,years,PlantNonTree
14,0.12806354789079488,years,PlantNonTree
15,0.13127166973822024,years,PlantNonTree
16,0.13454775461990387,years,PlantNonTree
17,0.1378926267725641,years,PlantNonTree
18,0.14130706845393515,years,PlantNonTree
19,0.14479186716831804,years,PlantNonTree
20,0.14833610296737165,years,PlantNonTree
21,0.15188046580925463,years,PlantNonTree
22,0.15534888344178777,years,PlantNonTree
