Age,qx,time_unit,subphylum
0,0.7765,years,VertNonMammal
1,0.3402,years,VertNonMammal
2,0.0313,years,VertNonMammal
3,0.0161,years,VertNonMammal
4,0.1066,years,VertNonMammal
5,0.0183,years,VertNonMammal
6,0.0654,years,VertNonMammal
7,0.1,years,VertNonMammal
8,0.1,years,VertNonMammal
9,0.0494,years,VertNonMammal
10,0.039,years,VertNonMammal
11,0.0541,years,VertNonMammal
12,0.0429,years,VertNonMammal
13,0.0896,years,VertNonMammal
14,0.0984,years,VertNonMammal
15,0.0545,years,VertNonMammal
16,0.0577,years,VertNonMammal
17,0.1633,years,VertNonMammal
