Age,qx,time_unit,subphylum
1,0.006718804000000023,days,Invertebrate
2,0.006733067158557149,days,Invertebrate
3,0.010755399696499301,days,Invertebrate
4,0.010139934309721488,days,Invertebrate
5,0.01063289654140287,days,Invertebrate
6,0.008620101313574713,days,Invertebrate
7,0.008284985434286907,days,Invertebrate
8,0.009033387846240304,days,Invertebrate
9,0.008520879493821298,days,Invertebrate
10,0.010417940077082188,days,Invertebrate
11,0.009794160974483601,days,Invertebrate
12,0.012702964746204803,days,Invertebrate
13,0.016001046304047972,days,Invertebrate
14,0.01897346816738199,days,Invertebrate
15,0.021146867750881815,days,Invertebrate
16,0.027301462594601644,days,Invertebrate
17,0.0235803626073684,days,Invertebrate
18,0.03132090538538079,days,Invertebrate
19,0.0255603602926483,days,Invertebrate
20,0.02954838741156318,days,Invertebrate
21,0.03769533053384044,days,Invertebrate
22,0.04662200693213059,days,Invertebrate
23,0.037623347670788676,days,Invertebrate
24,0.05224842956831954,days,Invertebrate
25,0.04686758592853679,days,Invertebrate
26,0.05905124850952326,days,Invertebrate
27,0.05153918744534114,days,Invertebrate
28,0.07075833767103001,days,Invertebrate
29,0.06384084425358649,days,Invertebrate
30,0.0828271758906377,days,Invertebrate
31,0.07176468305438877,days,Invertebrate
32,0.09077156532664232,days,Invertebrate
33,0.07903418852889377,days,Invertebrate
34,0.10681082121777752,days,Invertebrate
35,0.09117302214451628,days,Invertebrate
36,0.11703029760722661,days,Invertebrate
37,0.0902609694711356,days,Invertebrate
38,0.10745766616280517,days,Invertebrate
39,0.10129010886358836,days,Invertebrate
40,0.10564361768206398,days,Invertebrate
41,0.0969824255204953,days,Invertebrate
42,0.09777663945238857,days,Invertebrate
43,0.09365115422333747,days,Invertebrate
44,0.11023064607537136,days,Invertebrate
45,0.09401403060133695,days,Invertebrate
46,0.11669287909816761,days,Invertebrate
47,0.09826975651344216,days,Invertebrate
48,0.09089243472642827,days,Invertebrate
49,0.08687628075345977,days,Invertebrate
50,0.10220010066697283,days,Invertebrate
