Age,qx,time_unit,subphylum
0,0.16424799999999995,years,PlantNonTree
1,0.07695707219366521,years,PlantNonTree
2,0.07147001588298485,years,PlantNonTree
3,0.06628058774640466,years,PlantNonTree
4,0.06158443960997251,years,PlantNonTree
5,0.05745642055204092,years,PlantNonTree
6,0.053859380212638364,years,PlantNonTree
7,0.05069640154776123,years,PlantNonTree
8,0.04785638369632983,years,PlantNonTree
9,0.04524137757189162,years,PlantNonTree
10,0.04277816625268083,years,PlantNonTree
11,0.040419785166408206,years,PlantNonTree
12,0.03814189009285318,years,PlantNonTree
13,0.03593721723710752,years,PlantNonTree
14,0.033809954488719374,years,PlantNonTree
15,0.03177088644364612,years,PlantNonTree
16,0.029833614003212494,years,PlantNonTree
17,0.028011852303689966,years,PlantNonTree
18,0.026317672088153277,years,PlantNonTree
19,0.024760499341293762,years,PlantNonTree
20,0.023346684285746155,years,PlantNonTree
21,0.022079469940601726,years,PlantNonTree
22,0.020959219095382897,years,PlantNonTree
23,0.019983789360590754,years,PlantNonTree
24,0.019148974872580604,years,PlantNonTree
25,0.01844895821194592,years,PlantNonTree
26,0.017876736346810085,years,PlantNonTree
27,0.017424499927033765,years,PlantNonTree
28,0.017083956488902374,years,PlantNonTree
29,0.016846595769797634,years,PlantNonTree
30,0.01670390013705303,years,PlantNonTree
31,0.01664750582386476,years,PlantNonTree
32,0.016669321863398423,years,PlantNonTree
33,0.01676161382441299,years,PlantNonTree
34,0.016917059062879658,years,PlantNonTree
35,0.017128779491572765,years,PlantNonTree
36,0.017390357021989544,years,PlantNonTree
37,0.01769583597132529,years,PlantNonTree
38,0.01803971592166631,years,PlantNonTree
39,0.018416937805117328,years,PlantNonTree
40,0.018822865380781262,years,PlantNonTree
41,0.019253263765537598,years,PlantNonTree
42,0.019704276273270094,years,PlantNonTree
43,0.02017240049317648,years,PlantNonTree
44,0.020654464284650453,years,PlantNonTree
45,0.021147602170938362,years,PlantNonTree
46,0.02164923246509487,years,PlantNonTree
47,0.0221570353498054,years,PlantNonTree
48,0.02266893204932552,years,PlantNonTree
49,0.023183065170539807,years,PlantNonTree
50,0.023697780245586664,years,PlantNonTree
51,0.02421160847682302,years,PlantNonTree
52,0.024723250662310403,years,PlantNonTree
53,0.02523156226506873,years,PlantNonTree
54,0.025735539578933708,years,PlantNonTree
55,0.026234306937838126,years,PlantNonTree
56,0.026727104911911992,years,PlantNonTree
57,0.027213279431939075,years,PlantNonTree
58,0.027692271784388933,years,PlantNonTree
59,0.02816360941942264,years,PlantNonTree
60,0.02862689751663039,years,PlantNonTree
61,0.02908181125498155,years,PlantNonTree
62,0.02952808873612034,years,PlantNonTree
63,0.029965524512635233,years,PlantNonTree
64,0.030393963675736213,years,PlantNonTree
65,0.030813296459444528,years,PlantNonTree
66,0.031223453321026495,years,PlantNonTree
67,0.03162440046021864,years,PlantNonTree
68,0.0320161357419978,years,PlantNonTree
69,0.032398684990526005,years,PlantNonTree
70,0.0327720986238168,years,PlantNonTree
71,0.033136448601035595,years,PlantNonTree
72,0.0334918256566481,years,PlantNonTree
73,0.03383833679699544,years,PlantNonTree
74,0.03417610303753138,years,PlantNonTree
75,0.03450525735985421,years,PlantNonTree
76,0.03482594286989804,years,PlantNonTree
77,0.035138311139774836,years,PlantNonTree
78,0.03544252071733256,years,PlantNonTree
79,0.03573873578867637,years,PlantNonTree
80,0.036027124980185676,years,PlantNonTree
81,0.03630786028757471,years,PlantNonTree
82,0.03658111612064752,years,PlantNonTree
83,0.03684706845330221,years,PlantNonTree
84,0.037105894069187295,years,PlantNonTree
85,0.03735776989427553,years,PlantNonTree
86,0.03760287240832538,years,PlantNonTree
87,0.03784137712783231,years,PlantNonTree
88,0.038073458153819906,years,PlantNonTree
89,0.03829928777827485,years,PlantNonTree
90,0.03851903614358554,years,PlantNonTree
