Age,qx,time_unit,subphylum
0,0.010000000000000009,days,Invertebrate
1,0.002525252525252486,days,Invertebrate
2,0.025316455696202556,days,Invertebrate
3,0.01558441558441559,days,Invertebrate
4,0.0237467018469657,days,Invertebrate
5,0.032432432432432434,days,Invertebrate
6,0.019553072625698387,days,Invertebrate
7,0.03703703703703698,days,Invertebrate
8,0.047337278106508784,days,Invertebrate
9,0.049689440993788914,days,Invertebrate
10,0.045751633986928164,days,Invertebrate
11,0.07534246575342463,days,Invertebrate
12,0.0814814814814816,days,Invertebrate
13,0.06451612903225812,days,Invertebrate
14,0.09482758620689646,days,Invertebrate
15,0.10476190476190483,days,Invertebrate
16,0.07978723404255317,days,Invertebrate
17,0.08670520231213863,days,Invertebrate
18,0.10759493670886089,days,Invertebrate
19,0.021276595744680882,days,Invertebrate
20,0.10144927536231874,days,Invertebrate
21,0.08064516129032262,days,Invertebrate
22,0.12280701754385959,days,Invertebrate
23,0.06000000000000005,days,Invertebrate
24,0.0957446808510638,days,Invertebrate
25,0.15294117647058825,days,Invertebrate
26,0.08333333333333326,days,Invertebrate
27,0.10606060606060619,days,Invertebrate
28,0.10169491525423724,days,Invertebrate
29,0.1132075471698114,days,Invertebrate
30,0.1914893617021276,days,Invertebrate
31,0.2894736842105263,days,Invertebrate
