Age,qx,time_unit,subphylum
0,0.291531535,years,Human
1,0.094893249,years,Human
2,0.038894708,years,Human
3,0.021484486,years,Human
4,0.015942865,years,Human
5,0.014174939,years,Human
6,0.013620194,years,Human
7,0.01345771,years,Human
8,0.01342323,years,Human
9,0.013431666,years,Human
10,0.013455708,years,Human
11,0.013486702,years,Human
12,0.013522027,years,Human
13,0.013561024,years,Human
14,0.013603687,years,Human
15,0.013650236,years,Human
16,0.013700983,years,Human
17,0.013756297,years,Human
18,0.013816584,years,Human
19,0.013882289,years,Human
20,0.0139539,years,Human
21,0.014031948,years,Human
22,0.014117012,years,Human
23,0.014209724,years,Human
24,0.014310772,years,Human
25,0.014420906,years,Human
26,0.014540945,years,Human
27,0.01467178,years,Human
28,0.014814384,years,Human
29,0.014969819,years,Human
30,0.01513924,years,Human
31,0.015323909,years,Human
32,0.015525201,years,Human
33,0.015744617,years,Human
34,0.015983792,years,Human
35,0.016244512,years,Human
36,0.016528724,years,Human
37,0.016838551,years,Human
38,0.017176313,years,Human
39,0.017544538,years,Human
40,0.017945986,years,Human
41,0.01838367,years,Human
42,0.018860879,years,Human
43,0.019381204,years,Human
44,0.019948566,years,Human
45,0.020567248,years,Human
46,0.021241927,years,Human
47,0.021977715,years,Human
48,0.022780199,years,Human
49,0.023655485,years,Human
50,0.02461025,years,Human
51,0.025651799,years,Human
52,0.026788121,years,Human
53,0.028027965,years,Human
54,0.029380908,years,Human
55,0.03085744,years,Human
56,0.032469062,years,Human
57,0.034228379,years,Human
58,0.036149226,years,Human
59,0.038246787,years,Human
60,0.040537744,years,Human
61,0.043040434,years,Human
62,0.045775034,years,Human
63,0.048763757,years,Human
64,0.052031092,years,Human
65,0.055604052,years,Human
66,0.05951248,years,Human
67,0.063789376,years,Human
68,0.06847129,years,Human
69,0.073598755,years,Human
70,0.079216801,years,Human
71,0.08537554,years,Human
72,0.092130849,years,Human
73,0.099545169,years,Human
74,0.107688436,years,Human
75,0.116639192,years,Human
76,0.126485888,years,Human
77,0.137328454,years,Human
