Age,qx,time_unit,subphylum
0,0.00212,years,Human
1,0.000350744,years,Human
2,0.000170421,years,Human
3,0.000160424,years,Human
4,0.000110309,years,Human
5,0.000130379,years,Human
6,0.000100305,years,Human
7,7.02e-05,years,Human
8,7.02e-05,years,Human
9,7.02e-05,years,Human
10,8.03e-05,years,Human
11,4.01e-05,years,Human
12,8.03e-05,years,Human
13,8.03e-05,years,Human
14,7.03e-05,years,Human
15,0.000110409,years,Human
16,0.000130497,years,Human
17,0.000170672,years,Human
18,0.000170702,years,Human
19,0.000220946,years,Human
20,0.000281266,years,Human
21,0.000261249,years,Human
22,0.000291469,years,Human
23,0.000301608,years,Human
24,0.000271529,years,Human
25,0.00031184,years,Human
26,0.000352187,years,Human
27,0.000312047,years,Human
28,0.000332283,years,Human
29,0.000362611,years,Human
30,0.000312361,years,Human
31,0.000403173,years,Human
32,0.000413419,years,Human
33,0.000403502,years,Human
34,0.000454123,years,Human
35,0.000504811,years,Human
36,0.000494964,years,Human
37,0.000606379,years,Human
38,0.000637084,years,Human
39,0.000677966,years,Human
40,0.000688552,years,Human
41,0.000830885,years,Human
42,0.000841717,years,Human
43,0.000883025,years,Human
44,0.001066661,years,Human
45,0.001098309,years,Human
46,0.001191143,years,Human
47,0.001263913,years,Human
48,0.00136757,years,Human
49,0.001573838,years,Human
50,0.00159679,years,Human
51,0.001804388,years,Human
52,0.001910357,years,Human
53,0.002058079,years,Human
54,0.002206686,years,Human
55,0.002294242,years,Human
56,0.002537756,years,Human
57,0.002637673,years,Human
58,0.002894537,years,Human
59,0.003163995,years,Human
60,0.00337307,years,Human
61,0.003857473,years,Human
62,0.004104545,years,Human
63,0.003697661,years,Human
64,0.004487691,years,Human
65,0.004977941,years,Human
66,0.005217559,years,Human
67,0.005957199,years,Human
68,0.006470595,years,Human
69,0.006993542,years,Human
70,0.007504979,years,Human
71,0.008847889,years,Human
72,0.009665186,years,Human
73,0.011002045,years,Human
74,0.011866827,years,Human
75,0.013720006,years,Human
76,0.015879713,years,Human
77,0.01771977,years,Human
78,0.020367093,years,Human
79,0.022287949,years,Human
80,0.026732485,years,Human
81,0.029430507,years,Human
82,0.034021171,years,Human
83,0.038576244,years,Human
84,0.044697735,years,Human
85,0.051153869,years,Human
86,0.058670911,years,Human
87,0.067468168,years,Human
88,0.076538106,years,Human
89,0.088752749,years,Human
90,0.094143251,years,Human
91,0.10889888,years,Human
92,0.122313873,years,Human
93,0.139815688,years,Human
94,0.15391415,years,Human
95,0.169417861,years,Human
96,0.187823899,years,Human
97,0.207347293,years,Human
98,0.22797968,years,Human
99,0.249544442,years,Human
100,0.271819776,years,Human
101,0.294738792,years,Human
