Age,qx,time_unit,subphylum
0,0.032870559412004896,years,VertMammal
1,0.025226936879881756,years,VertMammal
2,0.02360584731997839,years,VertMammal
3,0.021958522790285095,years,VertMammal
4,0.021884567411271094,years,VertMammal
5,0.018780431254347363,years,VertMammal
6,0.015713610586011284,years,VertMammal
7,0.015604369223382486,years,VertMammal
8,0.015729789050115794,years,VertMammal
9,0.010654112983151665,years,VertMammal
10,0.00538442273979467,years,VertMammal
11,0.005539468714591433,years,VertMammal
12,0.005443727054057379,years,VertMammal
13,0.005600814663951015,years,VertMammal
14,0.0026881720430107503,years,VertMammal
15,1e-05,years,VertMammal
16,1e-05,years,VertMammal
17,1e-05,years,VertMammal
18,1e-05,years,VertMammal
19,1e-05,years,VertMammal
20,0.0017969451931716396,years,VertMammal
25,0.01761604731901767,years,VertMammal
30,0.021335078534031382,years,VertMammal
35,0.05322990504212921,years,VertMammal
40,0.05989546546122326,years,VertMammal
45,0.1188580015026297,years,VertMammal
50,0.12244201909959063,years,VertMammal
55,0.1535172949863972,years,VertMammal
60,0.16965105601469244,years,VertMammal
65,0.30024882499308814,years,VertMammal
70,0.30067167127617545,years,VertMammal
75,0.3005649717514124,years,VertMammal
80,0.30048465266558977,years,VertMammal
