Age,qx,time_unit,subphylum
0,0.0033589251439539725,years,VertNonMammal
1,0.3317284545016852,years,VertNonMammal
2,0.20389048991354464,years,VertNonMammal
3,0.14570135746606327,years,VertNonMammal
4,0.14830508474576276,years,VertNonMammal
5,0.18781094527363185,years,VertNonMammal
6,0.18836140888208264,years,VertNonMammal
7,0.21320754716981138,years,VertNonMammal
8,0.21103117505995206,years,VertNonMammal
9,0.155015197568389,years,VertNonMammal
10,0.15107913669064754,years,VertNonMammal
11,0.18220338983050854,years,VertNonMammal
12,0.21243523316062185,years,VertNonMammal
13,0.23684210526315796,years,VertNonMammal
