Age,qx,time_unit,subphylum
1,0.001,days,Invertebrate
2,0.002002002,days,Invertebrate
3,0.002006018,days,Invertebrate
4,0.003015075,days,Invertebrate
5,0.009072581,days,Invertebrate
6,0.013224822,days,Invertebrate
7,0.029896907,days,Invertebrate
8,0.046758767,days,Invertebrate
9,0.061315496,days,Invertebrate
10,0.070071259,days,Invertebrate
11,0.079182631,days,Invertebrate
12,0.098474341,days,Invertebrate
13,0.112307692,days,Invertebrate
14,0.129982669,days,Invertebrate
15,0.155378486,days,Invertebrate
16,0.158018868,days,Invertebrate
17,0.18487395,days,Invertebrate
18,0.189003436,days,Invertebrate
19,0.224576271,days,Invertebrate
20,0.25136612,days,Invertebrate
21,0.255474453,days,Invertebrate
22,0.264705882,days,Invertebrate
23,0.24,days,Invertebrate
24,0.245614035,days,Invertebrate
