Age,qx,time_unit,subphylum
0,1e-05,years,VertMammal
1,0.15959252971137516,years,VertMammal
2,0.08686868686868687,years,VertMammal
3,0.0995575221238939,years,VertMammal
4,0.09336609336609325,years,VertMammal
5,0.08672086720867223,years,VertMammal
6,0.09198813056379818,years,VertMammal
7,0.07189542483660138,years,VertMammal
8,0.08450704225352113,years,VertMammal
9,0.10769230769230775,years,VertMammal
10,0.125,years,VertMammal
11,0.16256157635467972,years,VertMammal
12,0.21764705882352942,years,VertMammal
13,0.26315789473684215,years,VertMammal
14,0.33673469387755095,years,VertMammal
15,0.32307692307692315,years,VertMammal
