Age,qx,time_unit,subphylum
0,0.46327666599999995,years,Invertebrate
1,0.188563335314205,years,Invertebrate
2,0.15734169334086512,years,Invertebrate
3,0.13675027656119743,years,Invertebrate
4,0.12282278574285488,years,Invertebrate
5,0.11296119419469342,years,Invertebrate
6,0.10564552319062792,years,Invertebrate
7,0.1000137969685071,years,Invertebrate
8,0.09556622008342985,years,Invertebrate
9,0.09199537464235608,years,Invertebrate
10,0.08909729430260116,years,Invertebrate
11,0.08672660001761978,years,Invertebrate
12,0.08477406492362094,years,Invertebrate
13,0.08315490130599767,years,Invertebrate
14,0.08180215699008753,years,Invertebrate
15,0.08066261258668295,years,Invertebrate
16,0.07969395922250977,years,Invertebrate
17,0.07886247646233957,years,Invertebrate
18,0.07814146962037494,years,Invertebrate
19,0.07750977499851597,years,Invertebrate
20,0.07695064166323218,years,Invertebrate
21,0.07645085893433257,years,Invertebrate
22,0.0760000242001917,years,Invertebrate
23,0.07558983649584927,years,Invertebrate
