Age,qx,time_unit,subphylum
0,0.09721,years,Human
1,0.031812492,years,Human
2,0.019769584,years,Human
3,0.015021184,years,Human
4,0.01195611,years,Human
5,0.009426382,years,Human
6,0.007094689,years,Human
7,0.005974808,years,Human
8,0.005041646,years,Human
9,0.004537048,years,Human
10,0.004421491,years,Human
11,0.00379424,years,Human
12,0.003646354,years,Human
13,0.003521833,years,Human
14,0.003773253,years,Human
15,0.004305175,years,Human
16,0.004425228,years,Human
17,0.004495842,years,Human
18,0.004797605,years,Human
19,0.005502063,years,Human
20,0.004912036,years,Human
21,0.00536496,years,Human
22,0.005197994,years,Human
23,0.005737167,years,Human
24,0.00561182,years,Human
25,0.006108249,years,Human
26,0.00618587,years,Human
27,0.006157155,years,Human
28,0.005857129,years,Human
29,0.006490326,years,Human
30,0.006121862,years,Human
31,0.006352487,years,Human
32,0.006725929,years,Human
33,0.007050709,years,Human
34,0.006411789,years,Human
35,0.007104142,years,Human
36,0.00651359,years,Human
37,0.006671066,years,Human
38,0.007163593,years,Human
39,0.009004553,years,Human
40,0.007383595,years,Human
41,0.008784253,years,Human
42,0.007981858,years,Human
43,0.00705348,years,Human
44,0.009526983,years,Human
45,0.008517601,years,Human
46,0.008544504,years,Human
47,0.009038159,years,Human
48,0.00864965,years,Human
49,0.008139222,years,Human
50,0.009786548,years,Human
51,0.010431446,years,Human
52,0.010329602,years,Human
53,0.011491036,years,Human
54,0.010725289,years,Human
55,0.012373529,years,Human
56,0.012835373,years,Human
57,0.013934695,years,Human
58,0.01528736,years,Human
59,0.015880355,years,Human
60,0.017907481,years,Human
61,0.020110766,years,Human
62,0.022607781,years,Human
63,0.020729271,years,Human
64,0.024797442,years,Human
65,0.027600636,years,Human
66,0.032211349,years,Human
67,0.034373664,years,Human
68,0.036261401,years,Human
69,0.043138696,years,Human
70,0.045323603,years,Human
71,0.046997586,years,Human
72,0.057864324,years,Human
73,0.061698314,years,Human
74,0.069575859,years,Human
75,0.074233286,years,Human
76,0.077967981,years,Human
77,0.088168972,years,Human
78,0.10258841,years,Human
79,0.105865062,years,Human
80,0.121892336,years,Human
81,0.12225797,years,Human
82,0.131222926,years,Human
83,0.149815894,years,Human
84,0.164756835,years,Human
85,0.187101653,years,Human
86,0.202524917,years,Human
87,0.213631061,years,Human
