Age,qx,time_unit,subphylum
0,0.724294,years,PlantNonTree
1,0.12507266435986164,years,PlantNonTree
2,0.1179641492719119,years,PlantNonTree
3,0.11164017521019365,years,PlantNonTree
4,0.10604537868144581,years,PlantNonTree
5,0.10111238176887571,years,PlantNonTree
6,0.09676902588494318,years,PlantNonTree
7,0.09294361007216556,years,PlantNonTree
8,0.08956832091550382,years,PlantNonTree
9,0.08658120300278749,years,PlantNonTree
10,0.08392705235476072,years,PlantNonTree
11,0.08155757673243791,years,PlantNonTree
12,0.07943109837601325,years,PlantNonTree
13,0.07751200239130884,years,PlantNonTree
14,0.07577007060416718,years,PlantNonTree
15,0.07417979079218462,years,PlantNonTree
16,0.07271969473842077,years,PlantNonTree
17,0.0713717534679652,years,PlantNonTree
18,0.07012084170992794,years,PlantNonTree
