Age,qx,time_unit,subphylum
0,1e-05,days,Invertebrate
1,1e-05,days,Invertebrate
2,0.01904761904761909,days,Invertebrate
3,0.009708737864077666,days,Invertebrate
4,0.009803921568627416,days,Invertebrate
5,0.00990099009901002,days,Invertebrate
6,0.014999999999999902,days,Invertebrate
7,0.01015228426395931,days,Invertebrate
8,0.02564102564102566,days,Invertebrate
9,0.021052631578947434,days,Invertebrate
10,0.026881720430107392,days,Invertebrate
11,0.005524861878453136,days,Invertebrate
12,0.022222222222222143,days,Invertebrate
13,0.022727272727272818,days,Invertebrate
14,0.023255813953488302,days,Invertebrate
15,0.023809523809523836,days,Invertebrate
16,0.018292682926829174,days,Invertebrate
17,0.01242236024844734,days,Invertebrate
18,0.0062893081761006275,days,Invertebrate
19,0.03797468354430378,days,Invertebrate
20,0.05921052631578938,days,Invertebrate
21,0.027972027972028024,days,Invertebrate
22,0.03597122302158273,days,Invertebrate
23,0.03731343283582078,days,Invertebrate
24,0.0852713178294574,days,Invertebrate
25,0.0423728813559322,days,Invertebrate
26,0.008849557522123908,days,Invertebrate
27,0.017857142857142794,days,Invertebrate
28,0.0181818181818183,days,Invertebrate
29,0.02777777777777768,days,Invertebrate
30,0.03809523809523807,days,Invertebrate
31,0.01980198019801982,days,Invertebrate
32,0.0505050505050505,days,Invertebrate
33,0.042553191489361764,days,Invertebrate
34,0.033333333333333215,days,Invertebrate
35,0.03448275862068961,days,Invertebrate
36,0.0714285714285714,days,Invertebrate
37,0.08974358974358976,days,Invertebrate
38,0.14084507042253525,days,Invertebrate
39,0.049180327868852514,days,Invertebrate
40,0.12068965517241381,days,Invertebrate
41,0.196078431372549,days,Invertebrate
42,0.19512195121951226,days,Invertebrate
43,0.1515151515151515,days,Invertebrate
44,0.1071428571428572,days,Invertebrate
45,0.3599999999999999,days,Invertebrate
46,0.3125,days,Invertebrate
