Age,qx,time_unit,subphylum
0,0.71461754,years,PlantTree
1,0.30044918317684977,years,PlantTree
2,0.19338523998651114,years,PlantTree
3,0.12306016273988041,years,PlantTree
4,0.08600813680952657,years,PlantTree
5,0.06856331912035862,years,PlantTree
6,0.06060553682061387,years,PlantTree
7,0.05684557705102744,years,PlantTree
8,0.05486786031881463,years,PlantTree
9,0.05362933433795902,years,PlantTree
10,0.05269042244355027,years,PlantTree
11,0.051868024261697454,years,PlantTree
12,0.05108655110924587,years,PlantTree
13,0.05031505848626594,years,PlantTree
14,0.0495411139171531,years,PlantTree
15,0.048759962792123135,years,PlantTree
16,0.04796997790354085,years,PlantTree
17,0.04717084163209273,years,PlantTree
18,0.04636284258272272,years,PlantTree
19,0.045546528127833996,years,PlantTree
20,0.044722550147561546,years,PlantTree
21,0.043891743128608884,years,PlantTree
22,0.043054985251166134,years,PlantTree
