Year,Age,Female,Male,Total
1878,81,0.059764,0.079381,0.065994
1878,82,0.086604,0.113894,0.095137
1878,83,0.090875,0.127452,0.102065
1878,84,0.102349,0.143155,0.114502
1878,85,0.125020,0.143859,0.130517
1878,86,0.121944,0.156936,0.131959
1878,87,0.130847,0.170495,0.141904
1878,88,0.134713,0.191399,0.149963
1878,89,0.140304,0.178214,0.150107
1878,90,0.180686,0.216370,0.189745
1878,91,0.147172,0.201740,0.160487
1878,92,0.165639,0.245105,0.184059
1878,93,0.177857,0.231998,0.189785
1878,94,0.187703,0.221174,0.194798
1878,95,0.193349,0.239902,0.202928
1878,96,0.203351,0.268967,0.216272
1878,97,0.197766,0.249430,0.207414
1878,98,0.212400,0.263113,0.221518
1878,99,0.263785,0.294880,0.269186
1878,100,0.252164,0.275728,0.256180
1878,101,0.258751,0.298914,0.265404
1878,102,0.274426,0.327324,0.282865
1878,103,0.257516,0.359725,0.272846
1878,104,0.241079,0.408246,0.263334
1878,105,0.275014,0.486755,0.298898
1878,106,0.289791,0.578125,0.315796
1878,107,0.265640,0.565700,0.285929
1878,108,0.299290,0.489884,0.309474
1878,109,0.341079,0.598540,0.352540
1878,110,0.542624,1.363636,0.555064
1879,80,0.107443,0.122656,0.112347
1879,81,0.052991,0.066697,0.057365
1879,82,0.094438,0.127193,0.104742
1879,83,0.090764,0.123251,0.100745
1879,84,0.089851,0.125297,0.100484
1879,85,0.116907,0.146347,0.125540
1879,86,0.116588,0.149556,0.126034
1879,87,0.122295,0.161417,0.133214
1879,88,0.133895,0.184092,0.147470
1879,89,0.147737,0.166560,0.152700
1879,90,0.169938,0.223204,0.183587
1879,91,0.140424,0.183477,0.151066
1879,92,0.161479,0.234661,0.178845
1879,93,0.177440,0.240063,0.191508
1879,94,0.189526,0.223098,0.196778
1879,95,0.201411,0.238918,0.209266
1879,96,0.198832,0.287410,0.216572
1879,97,0.217161,0.269116,0.226953
1879,98,0.197407,0.231480,0.203558
1879,99,0.245573,0.274276,0.250623
1879,100,0.254234,0.295517,0.261279
1879,101,0.268986,0.322878,0.277839
1879,102,0.253601,0.349283,0.268396
1879,103,0.241552,0.388586,0.261996
1879,104,0.273749,0.461050,0.296287
1879,105,0.289777,0.543051,0.314830
1879,106,0.268585,0.529720,0.288718
1879,107,0.296864,0.456755,0.306960
1879,108,0.335864,0.540416,0.347018
1879,109,0.378361,0.897912,0.398658
1879,110,0.643115,2.181818,0.655719
1880,79,0.045829,0.053703,0.048719
1880,80,0.092758,0.110100,0.098490
1880,81,0.053293,0.068670,0.058318
1880,82,0.092608,0.123635,0.102583
1880,83,0.083176,0.110470,0.091781
1880,84,0.086769,0.117884,0.096388
1880,85,0.108826,0.139852,0.118217
1880,86,0.113938,0.141060,0.121980
1880,87,0.117542,0.148221,0.126457
1880,88,0.131514,0.160816,0.139837
1880,89,0.142828,0.174551,0.151665
1880,90,0.159336,0.187333,0.166956
1880,91,0.147271,0.180284,0.156065
1880,92,0.165932,0.218426,0.179457
1880,93,0.167018,0.211513,0.178088
1880,94,0.198406,0.241101,0.208706
1880,95,0.210827,0.259574,0.222195
1880,96,0.218305,0.296658,0.235603
1880,97,0.214822,0.285042,0.229467
1880,98,0.226352,0.275055,0.236047
1880,99,0.248772,0.291104,0.256833
1880,100,0.262647,0.317277,0.272664
1880,101,0.248808,0.338454,0.264317
1880,102,0.240733,0.370158,0.261128
1880,103,0.271402,0.437210,0.294472
1880,104,0.288606,0.513432,0.314989
1880,105,0.270248,0.499392,0.291924
1880,106,0.293599,0.431221,0.304577
1880,107,0.329575,0.500000,0.341603
1880,108,0.367981,0.760135,0.389307
1880,109,0.482100,1.310769,0.507905
1880,110,0.738630,3.000000,0.747922
1881,78,0.078360,0.101206,0.086669
1881,79,0.048024,0.066080,0.054492
1881,80,0.107995,0.120187,0.112140
1881,81,0.052275,0.073930,0.059565
1881,82,0.081145,0.108908,0.090341
1881,83,0.084484,0.113719,0.093985
1881,84,0.089479,0.117165,0.098295
1881,85,0.102817,0.135725,0.113083
1881,86,0.121748,0.141870,0.127904
1881,87,0.125759,0.151634,0.133551
1881,88,0.132704,0.173456,0.144736
1881,89,0.129146,0.170861,0.141066
1881,90,0.155163,0.187591,0.164187
1881,91,0.149757,0.200240,0.163397
1881,92,0.168893,0.199845,0.176985
1881,93,0.164820,0.205845,0.175274
1881,94,0.204629,0.238864,0.213084
1881,95,0.196060,0.272568,0.214249
1881,96,0.223827,0.267098,0.233628
1881,97,0.204192,0.281288,0.220938
1881,98,0.250279,0.342401,0.269016
1881,99,0.255466,0.309593,0.265819
1881,100,0.243179,0.325810,0.258131
1881,101,0.238684,0.350268,0.257295
1881,102,0.267875,0.410633,0.289298
1881,103,0.285942,0.478568,0.310958
1881,104,0.270349,0.461655,0.291105
1881,105,0.288810,0.395103,0.298873
1881,106,0.321669,0.440835,0.332013
1881,107,0.355937,0.608611,0.374358
1881,108,0.455160,0.797872,0.473868
1881,109,0.563125,0.974277,0.578902
1881,110,0.810996,2.060241,0.825591
1882,77,0.045140,0.061444,0.051285
1882,78,0.065936,0.074744,0.069208
1882,79,0.046051,0.057353,0.050193
1882,80,0.108591,0.117636,0.111659
1882,81,0.048066,0.073777,0.056687
1882,82,0.078658,0.106972,0.087979
1882,83,0.081030,0.114331,0.091771
1882,84,0.095407,0.119494,0.103024
1882,85,0.106202,0.139192,0.116435
1882,86,0.119999,0.147656,0.128411
1882,87,0.130320,0.158471,0.138709
1882,88,0.136065,0.191734,0.152150
1882,89,0.136206,0.180035,0.148437
1882,90,0.161561,0.205792,0.173517
1882,91,0.143041,0.192135,0.155837
1882,92,0.168731,0.212035,0.179680
1882,93,0.170835,0.234740,0.186354
1882,94,0.203070,0.242217,0.212202
1882,95,0.197258,0.255641,0.210304
1882,96,0.220840,0.259344,0.229150
1882,97,0.222110,0.307571,0.239662
1882,98,0.242513,0.326413,0.258547
1882,99,0.237160,0.314754,0.251118
1882,100,0.235996,0.333924,0.252369
1882,101,0.263919,0.390406,0.283195
1882,102,0.282973,0.454932,0.306021
1882,103,0.270143,0.440971,0.289666
1882,104,0.284639,0.381761,0.294468
1882,105,0.315233,0.424352,0.325432
1882,106,0.346628,0.569604,0.364473
1882,107,0.434982,0.705452,0.451988
1882,108,0.537509,0.799308,0.550330
1882,109,0.657382,1.181416,0.675781
1882,110,0.951334,3.000000,0.965932
1883,76,0.034712,0.054047,0.041012
1883,77,0.030296,0.049520,0.036521
1883,78,0.053854,0.074168,0.060394
1883,79,0.037797,0.053229,0.042741
1883,80,0.090067,0.108284,0.096074
1883,81,0.049116,0.075052,0.057539
1883,82,0.084141,0.107047,0.091456
1883,83,0.075138,0.116172,0.087978
1883,84,0.100634,0.121687,0.107070
1883,85,0.111738,0.136872,0.119295
1883,86,0.121461,0.158132,0.132256
1883,87,0.123466,0.154412,0.132358
1883,88,0.129004,0.173562,0.141479
1883,89,0.139116,0.180913,0.150454
1883,90,0.157936,0.199200,0.168790
1883,91,0.147126,0.181118,0.155826
1883,92,0.173257,0.237115,0.189029
1883,93,0.172123,0.242346,0.188569
1883,94,0.192444,0.262772,0.208071
1883,95,0.202546,0.252561,0.213135
1883,96,0.221616,0.305009,0.238415
1883,97,0.237394,0.298767,0.248941
1883,98,0.217417,0.288237,0.230152
1883,99,0.232281,0.317428,0.246601
1883,100,0.259088,0.369749,0.276262
1883,101,0.278977,0.430658,0.300011
1883,102,0.268718,0.418763,0.286821
1883,103,0.279701,0.365532,0.289014
1883,104,0.308070,0.402661,0.317647
1883,105,0.336754,0.520203,0.353063
1883,106,0.415185,0.612565,0.429745
1883,107,0.512332,0.642473,0.520557
1883,108,0.625372,0.759358,0.632909
1883,109,0.806409,1.253521,0.826250
1883,110,1.100537,3.000000,1.121442
1884,75,0.064071,0.067040,0.065207
1884,76,0.051200,0.060048,0.054530
1884,77,0.050690,0.063641,0.055461
1884,78,0.079719,0.090686,0.083666
1884,79,0.046725,0.059668,0.051272
1884,80,0.084493,0.109946,0.092491
1884,81,0.052808,0.078074,0.060606
1884,82,0.083210,0.111862,0.091896
1884,83,0.080468,0.116042,0.090987
1884,84,0.099682,0.126482,0.107453
1884,85,0.116685,0.139627,0.123217
1884,86,0.118979,0.148613,0.127253
1884,87,0.123512,0.151123,0.131068
1884,88,0.132356,0.181152,0.145353
1884,89,0.133864,0.164833,0.141855
1884,90,0.157478,0.204658,0.169337
1884,91,0.152601,0.206062,0.165540
1884,92,0.180581,0.234024,0.192947
1884,93,0.176539,0.246570,0.192059
1884,94,0.180165,0.243893,0.193525
1884,95,0.219417,0.259723,0.227510
1884,96,0.223364,0.312969,0.240477
1884,97,0.224478,0.257093,0.230421
1884,98,0.240707,0.333287,0.256740
1884,99,0.253194,0.352237,0.269026
1884,100,0.273660,0.411237,0.293538
1884,101,0.265668,0.403005,0.283170
1884,102,0.273383,0.356966,0.283038
1884,103,0.299408,0.393810,0.309584
1884,104,0.325168,0.501082,0.341900
1884,105,0.393592,0.583125,0.408697
1884,106,0.483574,0.622706,0.493083
1884,107,0.585240,0.743274,0.594716
1884,108,0.738224,1.227666,0.760737
1884,109,0.852858,3.000000,0.884580
1885,74,0.039758,0.054625,0.045202
1885,75,0.055118,0.059707,0.056781
1885,76,0.055667,0.063416,0.058447
1885,77,0.051462,0.065852,0.056562
1885,78,0.068851,0.085252,0.074575
1885,79,0.048704,0.062569,0.053460
1885,80,0.084121,0.109617,0.091976
1885,81,0.060574,0.080929,0.066744
1885,82,0.083218,0.114915,0.092656
1885,83,0.090294,0.111717,0.096557
1885,84,0.098010,0.129483,0.107038
1885,85,0.112375,0.145481,0.121663
1885,86,0.116832,0.150324,0.126002
1885,87,0.126838,0.152321,0.133654
1885,88,0.137557,0.183136,0.149437
1885,89,0.137695,0.175842,0.147358
1885,90,0.164950,0.207850,0.175446
1885,91,0.156972,0.215675,0.170811
1885,92,0.178543,0.228922,0.189968
1885,93,0.175562,0.261918,0.194104
1885,94,0.193298,0.263755,0.207511
1885,95,0.224112,0.272509,0.233407
1885,96,0.218001,0.252262,0.224310
1885,97,0.219712,0.283055,0.231015
1885,98,0.258846,0.327732,0.270406
1885,99,0.267592,0.390262,0.286755
1885,100,0.261645,0.384321,0.278808
1885,101,0.266677,0.343475,0.276523
1885,102,0.290537,0.377260,0.300975
1885,103,0.313809,0.468256,0.330454
1885,104,0.373795,0.530884,0.388382
1885,105,0.457841,0.556319,0.465964
1885,106,0.551211,0.627004,0.557000
1885,107,0.687121,0.857692,0.698870
1885,108,0.792874,1.374046,0.821989
1885,109,0.950188,3.000000,0.981490
1886,73,0.036937,0.050921,0.042048
1886,74,0.034835,0.046150,0.038918
1886,75,0.055638,0.059833,0.057137
1886,76,0.054317,0.059741,0.056239
1886,77,0.042574,0.056683,0.047513
1886,78,0.064696,0.081384,0.070438
1886,79,0.051267,0.064233,0.055654
1886,80,0.084010,0.105982,0.090723
1886,81,0.065868,0.088809,0.072774
1886,82,0.083307,0.113002,0.092077
1886,83,0.092766,0.119561,0.100524
1886,84,0.098707,0.131740,0.108069
1886,85,0.111912,0.146624,0.121502
1886,86,0.120697,0.163711,0.132262
1886,87,0.123520,0.153217,0.131298
1886,88,0.138965,0.170267,0.146965
1886,89,0.147563,0.205123,0.161818
1886,90,0.171121,0.206011,0.179465
1886,91,0.164774,0.206973,0.174555
1886,92,0.170386,0.240088,0.185887
1886,93,0.188606,0.272273,0.206117
1886,94,0.207422,0.284565,0.222554
1886,95,0.211404,0.259490,0.220341
