Year,Age,Female,Male,Total
1871,79,0.117862,0.132834,0.124360
1871,80,0.124797,0.129018,0.126590
1871,81,0.146807,0.163729,0.153953
1871,82,0.158594,0.190586,0.171919
1871,83,0.165436,0.184021,0.173060
1871,84,0.172190,0.209841,0.187398
1871,85,0.189149,0.222963,0.202510
1871,86,0.216460,0.262366,0.234155
1871,87,0.221398,0.269072,0.239246
1871,88,0.250163,0.286287,0.263356
1871,89,0.276443,0.318331,0.291286
1871,90,0.334997,0.370552,0.347313
1871,91,0.318430,0.361561,0.333007
1871,92,0.324588,0.355260,0.334651
1871,93,0.348051,0.353367,0.349765
1871,94,0.365080,0.461899,0.395402
1871,95,0.368789,0.647813,0.446768
1871,96,0.577837,0.512269,0.561259
1871,97,0.464499,0.352526,0.433874
1871,98,0.667684,0.295276,0.551712
1871,99,0.523299,0.488599,0.510125
1871,100,0.276447,0.716561,0.415722
1871,101,0.418862,0.365662,0.403608
1871,102,0.516353,0.441346,0.493976
1871,103,0.644989,0.594108,0.628780
1871,104,0.592490,0.803226,0.655977
1871,105,0.654987,2.033333,0.924078
1872,78,0.107061,0.116040,0.110810
1872,79,0.109302,0.123664,0.115256
1872,80,0.134527,0.158277,0.144315
1872,81,0.146600,0.165386,0.154230
1872,82,0.144253,0.161441,0.151164
1872,83,0.167538,0.185300,0.174605
1872,84,0.177965,0.204373,0.188329
1872,85,0.198095,0.234439,0.212108
1872,86,0.221164,0.253553,0.233373
1872,87,0.216612,0.253238,0.230124
1872,88,0.266031,0.281871,0.271749
1872,89,0.274586,0.358501,0.304068
1872,90,0.311437,0.303014,0.308543
1872,91,0.294842,0.340453,0.310269
1872,92,0.359020,0.318832,0.345448
1872,93,0.345189,0.397166,0.362675
1872,94,0.333526,0.460521,0.373495
1872,95,0.399555,0.538255,0.439437
1872,96,0.514958,0.582945,0.533250
1872,97,0.474684,0.708763,0.529661
1872,98,0.527330,0.410798,0.501143
1872,99,0.434940,0.157398,0.363685
1872,100,0.310238,0.289203,0.304204
1872,101,0.643447,0.849057,0.700230
1872,102,0.566083,0.500000,0.548060
1872,103,0.490365,0.596715,0.518753
1872,104,0.478261,0.868421,0.567498
1872,105,0.356784,2.040000,0.544643
1873,77,0.096743,0.107390,0.101232
1873,78,0.101376,0.120997,0.109573
1873,79,0.117411,0.136035,0.125110
1873,80,0.138352,0.168896,0.150761
1873,81,0.132534,0.157090,0.142343
1873,82,0.144743,0.170185,0.154758
1873,83,0.171001,0.188624,0.177836
1873,84,0.185268,0.210887,0.195075
1873,85,0.190221,0.218895,0.201049
1873,86,0.207260,0.215796,0.210437
1873,87,0.228237,0.252464,0.237176
1873,88,0.256518,0.318702,0.278842
1873,89,0.263061,0.298878,0.275469
1873,90,0.283550,0.307454,0.291660
1873,91,0.253137,0.337214,0.280718
1873,92,0.323698,0.345492,0.330570
1873,93,0.342859,0.381331,0.354716
1873,94,0.371587,0.378539,0.373688
1873,95,0.439273,0.441416,0.439917
1873,96,0.478308,0.519345,0.490847
1873,97,0.492100,0.386125,0.459354
1873,98,0.364061,0.518345,0.411369
1873,99,0.512492,0.186364,0.409996
1873,100,0.596561,0.506436,0.564419
1873,101,0.332754,0.415094,0.363104
1873,102,0.494399,0.489028,0.492461
1873,103,0.492292,0.576408,0.522364
1873,104,0.383614,0.713073,0.486016
1873,105,0.868726,1.170124,0.940079
1873,106,3.000000,3.000000,3.000000
1874,76,0.085089,0.099273,0.091102
1874,77,0.093428,0.106135,0.098777
1874,78,0.107898,0.130844,0.117461
1874,79,0.128661,0.143880,0.134931
1874,80,0.118149,0.132400,0.123937
1874,81,0.129944,0.157806,0.141117
1874,82,0.149820,0.167151,0.156680
1874,83,0.165844,0.193036,0.176456
1874,84,0.167724,0.207593,0.182959
1874,85,0.183137,0.208252,0.192541
1874,86,0.200069,0.230686,0.211340
1874,87,0.254242,0.269357,0.259727
1874,88,0.237432,0.285720,0.254581
1874,89,0.271659,0.302380,0.282291
1874,90,0.258155,0.276147,0.264281
1874,91,0.286954,0.353327,0.308963
1874,92,0.343802,0.397620,0.361001
1874,93,0.321976,0.362279,0.334454
1874,94,0.365345,0.406008,0.377357
1874,95,0.361370,0.400583,0.372840
1874,96,0.419605,0.459127,0.430784
1874,97,0.449785,0.485321,0.459554
1874,98,0.587987,0.287206,0.495855
1874,99,0.384098,0.375469,0.381178
1874,100,0.374244,0.490798,0.411469
1874,101,0.448406,0.259804,0.384424
