Year,Age,Female,Male,Total
1876,80,0.115602,0.134367,0.123764
1876,81,0.123436,0.145913,0.133099
1876,82,0.133673,0.154108,0.142349
1876,83,0.153385,0.178134,0.163756
1876,84,0.163104,0.181405,0.170676
1876,85,0.176884,0.204159,0.188018
1876,86,0.207338,0.238104,0.219690
1876,87,0.197346,0.229915,0.210161
1876,88,0.219271,0.251849,0.231836
1876,89,0.245763,0.272601,0.255921
1876,90,0.263910,0.296314,0.275961
1876,91,0.304875,0.349388,0.321032
1876,92,0.336276,0.364654,0.346315
1876,93,0.353743,0.377683,0.362059
1876,94,0.355584,0.415657,0.375984
1876,95,0.373005,0.421928,0.388930
1876,96,0.429625,0.474855,0.443930
1876,97,0.444739,0.435099,0.441770
1876,98,0.451463,0.461303,0.454545
1876,99,0.713793,0.828221,0.747726
1876,100,0.631329,0.607004,0.624297
1876,101,0.579545,0.537931,0.567404
1876,102,0.616216,0.721519,0.647727
1876,103,0.782609,0.260870,0.608696
1876,104,0.731707,0.620690,0.685714
1876,105,0.947368,3.000000,1.500000
1877,79,0.109038,0.125370,0.116132
1877,80,0.117876,0.133923,0.124765
1877,81,0.120235,0.139303,0.128336
1877,82,0.138614,0.161974,0.148423
1877,83,0.144758,0.165053,0.153168
1877,84,0.161294,0.187062,0.171829
1877,85,0.188574,0.220681,0.201485
1877,86,0.184302,0.210242,0.194541
1877,87,0.200398,0.226720,0.210636
1877,88,0.226078,0.259255,0.238734
1877,89,0.241650,0.272920,0.253340
1877,90,0.275014,0.309912,0.287773
1877,91,0.302821,0.328042,0.311879
1877,92,0.313026,0.364656,0.331103
1877,93,0.339540,0.373921,0.351234
1877,94,0.372827,0.393068,0.379587
1877,95,0.412592,0.439673,0.421506
1877,96,0.418943,0.450777,0.429170
1877,97,0.475820,0.478882,0.476790
1877,98,0.475082,0.522680,0.489894
1877,99,0.562032,0.733198,0.611702
1877,100,0.649441,0.684411,0.658836
1877,101,0.580902,0.600000,0.586074
1877,102,0.660000,0.493151,0.615385
1877,103,0.472222,0.947368,0.595890
1877,104,0.434783,0.857143,0.506024
1877,105,0.810811,0.375000,0.733333
1877,106,0.789474,2.000000,0.954545
1878,78,0.094935,0.113456,0.102870
1878,79,0.103036,0.123836,0.111900
1878,80,0.106478,0.126253,0.114808
1878,81,0.124044,0.148129,0.134064
1878,82,0.131151,0.152431,0.139885
1878,83,0.147446,0.170185,0.156660
1878,84,0.168679,0.200107,0.181206
1878,85,0.167514,0.192346,0.177239
1878,86,0.180092,0.216123,0.193954
1878,87,0.204561,0.236203,0.216471
1878,88,0.222217,0.250662,0.232731
1878,89,0.256154,0.284678,0.266502
1878,90,0.282377,0.309595,0.292084
1878,91,0.294757,0.325555,0.305522
1878,92,0.324704,0.354543,0.334928
1878,93,0.344164,0.370394,0.352994
1878,94,0.365038,0.388017,0.372621
1878,95,0.393551,0.418624,0.401698
1878,96,0.436015,0.466251,0.445672
1878,97,0.440132,0.484419,0.453877
1878,98,0.446753,0.524772,0.470142
1878,99,0.607828,0.543956,0.588967
1878,100,0.543038,0.667712,0.578900
1878,101,0.706294,0.685185,0.700508
1878,102,0.502262,0.433333,0.482315
1878,103,0.404255,0.913043,0.529412
1878,104,0.558140,0.115385,0.455357
1878,105,0.750000,0.473684,0.666667
1878,106,0.500000,0.545455,0.514286
1878,107,0.642857,1.500000,0.900000
1879,77,0.087472,0.105951,0.095423
1879,78,0.094149,0.115862,0.103440
1879,79,0.098086,0.116372,0.105818
1879,80,0.113451,0.132897,0.121555
1879,81,0.116819,0.139628,0.126209
1879,82,0.133541,0.157229,0.143154
1879,83,0.152345,0.179695,0.163286
1879,84,0.149069,0.172997,0.158486
1879,85,0.167003,0.194326,0.177591
1879,86,0.186043,0.217977,0.198202
1879,87,0.208595,0.229340,0.216363
1879,88,0.230739,0.270282,0.245268
1879,89,0.257596,0.286274,0.267897
1879,90,0.269153,0.308039,0.282818
1879,91,0.290081,0.323385,0.301509
