Year,Age,Female,Male,Total
1883,76,0.059110,0.095123,0.069781
1883,77,0.064392,0.099566,0.074544
1883,78,0.074972,0.106873,0.083984
1883,79,0.090267,0.113620,0.096723
1883,80,0.097924,0.118454,0.103554
1883,81,0.104404,0.120792,0.108846
1883,82,0.115902,0.159098,0.127362
1883,83,0.123711,0.160167,0.133095
1883,84,0.133808,0.161184,0.140698
1883,85,0.164111,0.181491,0.168404
1883,86,0.191569,0.222991,0.199226
1883,87,0.179830,0.219708,0.189245
1883,88,0.189047,0.232426,0.199011
1883,89,0.193294,0.241329,0.203847
1883,90,0.260195,0.281337,0.264716
1883,91,0.233579,0.292748,0.245865
1883,92,0.286957,0.292138,0.287999
1883,93,0.330708,0.347716,0.334142
1883,94,0.275386,0.305827,0.281411
1883,95,0.360534,0.423000,0.372456
1883,96,0.379895,0.358117,0.375859
1883,97,0.339980,0.429442,0.356779
1883,98,0.398242,0.521138,0.418056
1883,99,0.339311,0.385097,0.346048
1883,100,0.518463,0.567805,0.525650
1883,101,0.547433,0.736842,0.573423
1883,102,0.648775,2.178344,0.764451
1884,75,0.055312,0.083979,0.063817
1884,76,0.059273,0.097395,0.070330
1884,77,0.070228,0.093061,0.076709
1884,78,0.078051,0.117981,0.089147
1884,79,0.082512,0.117229,0.091926
1884,80,0.094322,0.106652,0.097617
1884,81,0.103368,0.145165,0.114348
1884,82,0.113172,0.139135,0.119786
1884,83,0.124335,0.144375,0.129358
1884,84,0.143350,0.169632,0.149828
1884,85,0.159902,0.174910,0.163548
1884,86,0.187086,0.248797,0.201659
1884,87,0.180285,0.224372,0.190274
1884,88,0.202941,0.257432,0.214772
1884,89,0.209359,0.269827,0.222027
1884,90,0.262389,0.258443,0.261589
1884,91,0.255696,0.284082,0.261413
1884,92,0.285830,0.247502,0.278065
1884,93,0.310664,0.331331,0.314873
1884,94,0.300821,0.370454,0.314590
1884,95,0.339266,0.449834,0.359548
1884,96,0.389502,0.373689,0.386739
1884,97,0.285082,0.497056,0.318603
1884,98,0.393802,0.497512,0.408951
1884,99,0.406700,0.271887,0.387079
1884,100,0.504420,0.519387,0.506757
1884,101,0.570096,0.822581,0.605415
1884,102,0.563738,1.194313,0.624771
1884,103,0.658120,1.500000,0.703504
1885,74,0.047665,0.081123,0.057574
1885,75,0.052582,0.086061,0.062286
1885,76,0.061546,0.092134,0.070216
1885,77,0.063217,0.095940,0.072323
1885,78,0.074653,0.108365,0.083815
1885,79,0.079715,0.125674,0.091882
1885,80,0.097340,0.118645,0.102880
1885,81,0.098033,0.154827,0.112367
1885,82,0.118114,0.147642,0.125348
1885,83,0.129722,0.155426,0.135881
1885,84,0.142875,0.190839,0.154069
1885,85,0.154564,0.175525,0.159303
1885,86,0.175922,0.208444,0.183102
1885,87,0.188244,0.248087,0.201082
1885,88,0.203924,0.213004,0.205810
1885,89,0.213925,0.299469,0.231101
1885,90,0.247410,0.280836,0.253833
1885,91,0.262938,0.260338,0.262451
1885,92,0.312034,0.325504,0.314563
1885,93,0.296734,0.361921,0.308631
1885,94,0.342231,0.408813,0.353580
1885,95,0.301106,0.427245,0.321184
1885,96,0.384668,0.485258,0.399335
1885,97,0.330312,0.217671,0.314153
1885,98,0.331932,0.428745,0.345977
1885,99,0.519615,0.460681,0.511250
1885,100,0.534579,0.616883,0.546295
1885,101,0.542631,0.675620,0.559713
1885,102,0.639755,1.089623,0.687251
1885,103,0.680346,3.000000,0.755486
1886,73,0.045074,0.064177,0.050937
1886,74,0.046221,0.074246,0.054682
1886,75,0.057814,0.085866,0.066105
1886,76,0.066910,0.092387,0.074298
1886,77,0.062088,0.098499,0.072387
1886,78,0.070205,0.102564,0.079128
1886,79,0.083763,0.119522,0.093352
1886,80,0.097333,0.125998,0.104862
1886,81,0.096958,0.137662,0.107370
1886,82,0.116721,0.159183,0.127252
1886,83,0.129877,0.169060,0.139306
1886,84,0.137675,0.180543,0.147636
1886,85,0.156632,0.187388,0.163615
1886,86,0.164191,0.188818,0.169668
1886,87,0.174957,0.239938,0.188865
1886,88,0.201076,0.216561,0.204287
1886,89,0.236421,0.280613,0.245333
1886,90,0.232353,0.304503,0.246293
1886,91,0.270119,0.264297,0.269025
1886,92,0.319972,0.370334,0.329281
1886,93,0.283869,0.372660,0.299301
1886,94,0.333194,0.364926,0.338452
1886,95,0.329132,0.365996,0.334984
1886,96,0.354262,0.377476,0.357843
1886,97,0.410552,0.216659,0.378533
1886,98,0.282105,0.535146,0.326008
1886,99,0.496015,0.548780,0.503588
1886,100,0.482992,0.671186,0.506987
1886,101,0.543024,1.097938,0.597135
1886,102,0.539017,3.000000,0.605904
1887,72,0.045267,0.069515,0.053007
1887,73,0.050488,0.068799,0.056236
1887,74,0.052542,0.089450,0.063887
