Year,Age,Female,Male,Total
1846,76,0.102932,0.108184,0.105245
1846,77,0.104110,0.119457,0.110826
1846,78,0.107047,0.127175,0.115768
1846,79,0.110543,0.126205,0.117256
1846,80,0.124699,0.147714,0.134184
1846,81,0.137553,0.155327,0.144787
1846,82,0.167549,0.179031,0.172181
1846,83,0.189545,0.193906,0.191295
1846,84,0.181906,0.208225,0.192405
1846,85,0.186308,0.225465,0.201582
1846,86,0.190417,0.226657,0.204227
1846,87,0.189200,0.238687,0.207582
1846,88,0.195944,0.239233,0.211515
1846,89,0.221341,0.240506,0.228092
1846,90,0.257842,0.279871,0.265531
1846,91,0.251883,0.310718,0.271891
1846,92,0.278472,0.311110,0.289193
1846,93,0.340003,0.317975,0.332829
1846,94,0.405960,0.376027,0.395929
1846,95,0.295921,0.352617,0.314740
1846,96,0.301451,0.381356,0.326498
1846,97,0.378221,0.421261,0.391226
1846,98,0.399343,0.412911,0.403321
1846,99,0.435017,0.522107,0.460339
1846,100,0.564356,0.794776,0.621747
1846,101,0.897668,1.123288,0.947528
1846,102,0.742475,3.000000,0.966867
1847,75,0.100843,0.105374,0.102839
1847,76,0.101570,0.114196,0.107102
1847,77,0.100497,0.120229,0.109067
1847,78,0.100364,0.117160,0.107578
1847,79,0.101548,0.117949,0.108531
1847,80,0.124811,0.143847,0.132651
1847,81,0.153235,0.164663,0.157899
1847,82,0.174742,0.177983,0.176059
1847,83,0.170442,0.192291,0.179280
1847,84,0.171147,0.209803,0.186453
1847,85,0.178741,0.206110,0.189361
1847,86,0.179060,0.218020,0.193898
1847,87,0.184759,0.218257,0.197196
1847,88,0.206685,0.212983,0.208994
1847,89,0.248462,0.254035,0.250504
1847,90,0.231465,0.290971,0.252875
1847,91,0.238569,0.283556,0.254110
1847,92,0.290130,0.285841,0.288670
1847,93,0.339575,0.320064,0.332839
1847,94,0.365827,0.324215,0.351367
1847,95,0.280113,0.350905,0.304715
1847,96,0.340769,0.378372,0.353450
1847,97,0.353854,0.367347,0.358296
1847,98,0.373336,0.433301,0.392964
1847,99,0.454009,0.568293,0.488202
1847,100,0.602157,0.590585,0.598734
1847,101,0.495177,0.859649,0.592941
1847,102,0.370192,2.010000,0.596685
1848,74,0.102184,0.106030,0.103878
1848,75,0.105240,0.113914,0.109047
1848,76,0.102600,0.120490,0.110398
1848,77,0.099605,0.116799,0.107018
1848,78,0.098962,0.116922,0.106636
1848,79,0.106315,0.123221,0.113448
1848,80,0.140637,0.152468,0.145552
1848,81,0.159078,0.165105,0.161568
1848,82,0.158357,0.178170,0.166501
1848,83,0.159507,0.194872,0.173764
1848,84,0.170470,0.189279,0.177928
1848,85,0.173008,0.202219,0.184450
1848,86,0.178073,0.206196,0.188867
1848,87,0.196940,0.201800,0.198787
1848,88,0.240964,0.241552,0.241188
1848,89,0.220136,0.283211,0.243749
1848,90,0.212757,0.275612,0.235165
1848,91,0.261811,0.282615,0.269041
1848,92,0.306027,0.315080,0.309150
1848,93,0.329597,0.318531,0.325814
1848,94,0.346883,0.318126,0.336785
1848,95,0.324007,0.357483,0.335678
1848,96,0.338733,0.353143,0.343645
1848,97,0.359535,0.406946,0.375625
1848,98,0.438844,0.514604,0.462901
1848,99,0.572023,0.519332,0.555085
1848,100,0.485900,0.683788,0.547358
1848,101,0.401316,1.127820,0.565365
1848,102,0.661202,3.000000,0.816327
1849,73,0.084685,0.090630,0.087263
1849,74,0.091549,0.097941,0.094311
1849,75,0.088840,0.103902,0.095313
1849,76,0.082493,0.098892,0.089471
1849,77,0.079374,0.096545,0.086617
1849,78,0.082555,0.100548,0.090073
1849,79,0.097958,0.111439,0.103551
1849,80,0.142240,0.153139,0.146843
1849,81,0.145298,0.164005,0.153140
1849,82,0.149185,0.178333,0.161206
1849,83,0.161450,0.173572,0.166388
1849,84,0.166998,0.186589,0.174923
1849,85,0.171661,0.194893,0.180915
1849,86,0.187023,0.193381,0.189535
1849,87,0.229133,0.228463,0.228868
1849,88,0.211694,0.265792,0.232799
1849,89,0.191738,0.259826,0.217094
1849,90,0.236072,0.269231,0.248073
1849,91,0.275064,0.296556,0.282702
1849,92,0.293239,0.299738,0.295517
1849,93,0.305229,0.294236,0.301336
1849,94,0.313114,0.301533,0.309038
1849,95,0.319733,0.335609,0.325350
1849,96,0.340326,0.377069,0.353259
1849,97,0.412093,0.457531,0.427345
1849,98,0.520527,0.450593,0.496524
1849,99,0.446482,0.544345,0.480134
1849,100,0.387097,0.729607,0.488185
1849,101,0.606122,1.268775,0.742092
