Year,Age,Female,Male,Total
1900,81,0.081546,0.099886,0.088326
1900,82,0.091503,0.109931,0.098241
1900,83,0.104434,0.121580,0.110629
1900,84,0.113567,0.134640,0.121088
1900,85,0.129431,0.147093,0.135661
1900,86,0.140304,0.161340,0.147630
1900,87,0.150987,0.172751,0.158459
1900,88,0.163550,0.183373,0.170267
1900,89,0.176105,0.200561,0.184270
1900,90,0.201759,0.204891,0.202794
1900,91,0.213873,0.240542,0.222602
1900,92,0.227153,0.258478,0.237219
1900,93,0.241322,0.283791,0.254641
1900,94,0.265399,0.283013,0.270785
1900,95,0.281614,0.316448,0.292087
1900,96,0.311486,0.332508,0.317661
1900,97,0.312449,0.384198,0.333024
1900,98,0.318604,0.360181,0.330030
1900,99,0.367616,0.456879,0.390989
1900,100,0.425155,0.444015,0.429865
1900,101,0.456963,0.485174,0.463910
1900,102,0.487301,0.539292,0.499629
1900,103,0.521147,0.514825,0.519677
1900,104,0.523438,0.462313,0.508815
1900,105,0.550448,0.475806,0.531643
1900,106,0.548261,0.527929,0.542891
1900,107,0.491186,0.576522,0.513009
1900,108,0.541916,0.726829,0.585338
1900,109,0.736645,1.296943,0.835648
1900,110,1.451820,3.000000,1.542339
1901,80,0.078327,0.095207,0.085143
1901,81,0.081467,0.095566,0.087106
1901,82,0.090962,0.108184,0.097785
1901,83,0.101414,0.119981,0.108697
1901,84,0.115264,0.134654,0.122781
1901,85,0.128122,0.147327,0.135474
1901,86,0.136579,0.162969,0.146547
1901,87,0.144430,0.166340,0.152575
1901,88,0.166142,0.182105,0.171999
1901,89,0.174848,0.200953,0.184305
1901,90,0.199333,0.216017,0.205301
1901,91,0.216174,0.241814,0.225206
1901,92,0.226821,0.260604,0.238476
1901,93,0.240110,0.278981,0.253177
1901,94,0.264358,0.281346,0.269979
1901,95,0.281984,0.296917,0.286853
1901,96,0.320459,0.315150,0.318730
1901,97,0.323776,0.375598,0.340330
1901,98,0.324563,0.398689,0.347304
1901,99,0.370574,0.427925,0.387238
1901,100,0.423084,0.458476,0.432991
1901,101,0.470196,0.507312,0.480263
1901,102,0.499857,0.489126,0.496976
1901,103,0.495138,0.445218,0.481415
1901,104,0.522235,0.459049,0.504143
1901,105,0.522120,0.501590,0.516009
1901,106,0.473013,0.530997,0.489916
1901,107,0.509639,0.622642,0.540941
1901,108,0.655043,0.901528,0.714227
1901,109,0.951306,1.340102,1.025024
1901,110,1.677778,3.000000,1.789831
1902,79,0.066702,0.085189,0.074821
1902,80,0.077886,0.094126,0.085029
1902,81,0.081581,0.096020,0.087878
1902,82,0.090272,0.106117,0.097123
1902,83,0.102579,0.120711,0.110339
1902,84,0.113200,0.134489,0.122212
1902,85,0.121253,0.142675,0.130214
1902,86,0.128759,0.157120,0.140443
1902,87,0.143229,0.168764,0.153588
1902,88,0.162220,0.182218,0.170227
1902,89,0.177434,0.201583,0.186964
1902,90,0.195565,0.226345,0.207509
1902,91,0.199038,0.226171,0.209378
1902,92,0.232802,0.261449,0.243539
1902,93,0.234304,0.273370,0.248671
1902,94,0.247995,0.291974,0.263703
1902,95,0.279259,0.310513,0.290147
1902,96,0.304129,0.346371,0.318459
