Year,Age,Female,Male,Total
1874,76,0.081482,0.100005,0.089610
1874,77,0.089724,0.108404,0.097829
1874,78,0.115932,0.129702,0.121842
1874,79,0.138689,0.142477,0.140306
1874,80,0.120965,0.130805,0.125120
1874,81,0.136823,0.149164,0.142000
1874,82,0.151356,0.167190,0.157947
1874,83,0.160806,0.183576,0.170168
1874,84,0.179975,0.200870,0.188473
1874,85,0.195100,0.229933,0.209015
1874,86,0.199474,0.237909,0.214518
1874,87,0.246773,0.276223,0.258040
1874,88,0.275978,0.289958,0.281261
1874,89,0.260618,0.325217,0.284442
1874,90,0.295600,0.323838,0.305657
1874,91,0.333476,0.351106,0.339648
1874,92,0.278842,0.388174,0.315945
1874,93,0.375501,0.409467,0.386512
1874,94,0.307201,0.415946,0.340315
1874,95,0.357013,0.483469,0.392944
1874,96,0.423202,0.391409,0.414617
1874,97,0.536113,0.397568,0.497813
1874,98,0.382822,1.070155,0.553444
1874,99,0.606061,0.474684,0.583775
1874,100,0.481671,0.706366,0.520297
1874,101,0.490109,0.625498,0.510297
1874,102,0.523350,1.039437,0.585540
1874,103,0.750000,3.000000,0.831622
1875,75,0.074434,0.087558,0.080210
1875,76,0.082403,0.100019,0.090099
1875,77,0.102877,0.122797,0.111499
1875,78,0.119302,0.130744,0.124210
1875,79,0.103256,0.110363,0.106289
1875,80,0.126408,0.140740,0.132528
1875,81,0.137187,0.143430,0.139832
1875,82,0.147573,0.155922,0.151102
1875,83,0.162538,0.180772,0.170187
1875,84,0.191167,0.217429,0.202044
1875,85,0.186912,0.201598,0.192917
1875,86,0.231985,0.258074,0.242553
1875,87,0.237677,0.274548,0.252323
1875,88,0.241217,0.260289,0.248628
1875,89,0.284788,0.276998,0.281770
1875,90,0.309046,0.300607,0.305778
1875,91,0.294396,0.326148,0.306708
1875,92,0.341208,0.370811,0.352400
1875,93,0.396497,0.455465,0.418307
1875,94,0.456045,0.520712,0.479045
1875,95,0.472443,0.459259,0.467826
1875,96,0.451977,0.485764,0.463585
1875,97,0.492743,0.466992,0.483715
1875,98,0.497544,0.540022,0.512287
1875,99,0.330761,0.850461,0.485574
