Year,Age,Female,Male,Total
1871,79,0.101160,0.119530,0.110006
1871,80,0.147842,0.162620,0.154907
1871,81,0.088606,0.105976,0.096840
1871,82,0.129062,0.148447,0.138174
1871,83,0.139695,0.170320,0.153886
1871,84,0.179314,0.214480,0.195316
1871,85,0.170072,0.208128,0.187058
1871,86,0.216061,0.224942,0.219970
1871,87,0.211621,0.257249,0.231402
1871,88,0.215026,0.257894,0.233136
1871,89,0.223338,0.271698,0.243214
1871,90,0.285570,0.329960,0.303314
1871,91,0.192791,0.280533,0.226618
1871,92,0.295853,0.324348,0.306440
1871,93,0.267322,0.297739,0.278383
1871,94,0.311199,0.407302,0.344718
1871,95,0.375520,0.380531,0.377195
1871,96,0.429118,0.519726,0.458412
1871,97,0.479635,0.448388,0.469666
1871,98,0.609540,0.531347,0.583838
1871,99,0.548716,0.963762,0.675072
1871,100,0.294638,0.476636,0.338262
1871,101,0.373557,1.025806,0.488103
1871,102,0.797727,0.967742,0.818725
1871,103,0.708096,0.000000,0.595969
1871,104,1.271468,0.000000,0.872624
1871,105,0.000000,0.000000,0.000000
1871,106,0.000000,0.000000,0.000000
1871,107,0.000000,3.000000,0.760369
1872,78,0.117910,0.137892,0.127681
1872,79,0.105066,0.122927,0.113714
1872,80,0.129707,0.142221,0.135728
1872,81,0.090127,0.107455,0.098402
1872,82,0.131364,0.159882,0.144818
1872,83,0.140362,0.159569,0.149300
1872,84,0.171341,0.205809,0.187185
1872,85,0.172993,0.211907,0.190508
1872,86,0.200623,0.239110,0.217612
1872,87,0.198736,0.251756,0.221504
1872,88,0.216646,0.261656,0.235415
1872,89,0.220979,0.278066,0.244110
1872,90,0.294179,0.319120,0.303998
1872,91,0.207280,0.284340,0.236674
1872,92,0.261410,0.337078,0.289012
1872,93,0.253294,0.309457,0.272866
1872,94,0.309685,0.420372,0.346347
1872,95,0.323602,0.402122,0.348098
1872,96,0.436220,0.566063,0.473919
1872,97,0.416077,0.531327,0.446068
1872,98,0.570548,0.718515,0.605521
1872,99,0.579058,0.811955,0.624275
1872,100,0.489067,0.980488,0.564812
1872,101,0.304298,0.967742,0.358421
1872,102,1.140709,3.000000,1.194053
1873,77,0.097931,0.108618,0.103243
1873,78,0.109580,0.128514,0.118932
1873,79,0.090222,0.107041,0.098449
1873,80,0.131291,0.148606,0.139600
1873,81,0.099813,0.116472,0.107730
1873,82,0.131962,0.157738,0.144080
1873,83,0.135491,0.148382,0.141491
1873,84,0.171903,0.207505,0.188254
1873,85,0.166393,0.205978,0.184217
1873,86,0.184034,0.232811,0.205437
1873,87,0.194439,0.256886,0.221038
1873,88,0.216672,0.252921,0.231636
1873,89,0.225667,0.262732,0.240612
1873,90,0.293118,0.322445,0.304772
1873,91,0.211624,0.272936,0.235328
1873,92,0.256745,0.330526,0.284062
1873,93,0.259278,0.311820,0.277947
1873,94,0.312901,0.369372,0.332152
1873,95,0.300628,0.382152,0.327141
1873,96,0.401993,0.511950,0.435545
1873,97,0.384828,0.511361,0.420848
1873,98,0.584206,0.737939,0.623492
1873,99,0.682529,0.687327,0.683673
1873,100,0.624879,1.158301,0.731877
1873,101,0.367519,0.722892,0.408225
1873,102,1.081227,1.500000,1.122150
1874,76,0.090285,0.103416,0.096812
1874,77,0.088366,0.100507,0.094366
1874,78,0.088169,0.108575,0.098161
1874,79,0.083687,0.107016,0.094986
1874,80,0.131274,0.161341,0.145594
1874,81,0.098375,0.123734,0.110276
1874,82,0.125255,0.147313,0.135463
1874,83,0.129648,0.153156,0.140400
1874,84,0.173490,0.207816,0.188944
1874,85,0.158648,0.203339,0.178328
1874,86,0.195666,0.234412,0.212330
1874,87,0.202069,0.257595,0.225291
1874,88,0.228993,0.246080,0.235984
1874,89,0.218689,0.243451,0.228727
1874,90,0.268415,0.315556,0.287076
1874,91,0.220009,0.292090,0.247502
1874,92,0.259007,0.322997,0.282357
1874,93,0.294219,0.319494,0.303145
1874,94,0.319157,0.421694,0.354512
1874,95,0.337436,0.365433,0.346517
1874,96,0.409316,0.331708,0.384032
1874,97,0.437229,0.570784,0.481191
1874,98,0.566537,0.653767,0.592837
1874,99,0.808293,0.656154,0.763698
1874,100,0.375335,0.540207,0.426663
1874,101,0.559548,0.317055,0.482068
1874,102,1.200946,0.725514,1.013359
1874,103,0.570248,0.274390,0.421107
1874,104,0.000000,0.378151,0.205479
1874,105,0.543307,0.608108,0.573529
1874,106,3.000000,0.000000,0.857143
1875,75,0.082814,0.095037,0.088793
1875,76,0.081278,0.102056,0.091359
1875,77,0.065191,0.091919,0.078034
1875,78,0.093210,0.112145,0.102219
1875,79,0.083692,0.109160,0.095707
1875,80,0.130987,0.153872,0.141808
1875,81,0.093340,0.117734,0.104737
1875,82,0.133682,0.149380,0.140943
1875,83,0.132197,0.161864,0.145762
1875,84,0.158634,0.201677,0.177940
1875,85,0.169314,0.210788,0.187461
1875,86,0.195202,0.254835,0.220610
1875,87,0.194050,0.236352,0.211491
1875,88,0.224673,0.252076,0.235752
1875,89,0.195489,0.256821,0.219617
1875,90,0.256389,0.346553,0.290346
1875,91,0.216045,0.290430,0.242456
1875,92,0.242026,0.328757,0.271355
1875,93,0.311616,0.345030,0.322429
1875,94,0.285904,0.428036,0.328837
1875,95,0.327808,0.395326,0.346880
1875,96,0.367571,0.362018,0.366024
1875,97,0.436801,0.633921,0.487159
1875,98,0.445421,0.641086,0.488755
1875,99,0.665546,0.813467,0.695307
1875,100,0.353353,0.193776,0.324479
1875,101,0.604361,0.350151,0.549406
1875,102,0.527395,0.363436,0.484180
1875,103,0.289111,0.466563,0.340027
1875,104,0.451852,0.425258,0.445415
1875,105,1.274194,0.750000,1.125964
1875,106,0.000000,0.000000,0.000000
1875,107,1.500000,3.000000,2.061224
1876,74,0.071643,0.084257,0.077852
1876,75,0.080254,0.094272,0.087104
1876,76,0.076825,0.092227,0.084297
1876,77,0.067712,0.092007,0.079393
1876,78,0.100598,0.117625,0.108710
1876,79,0.082227,0.107194,0.094005
1876,80,0.130302,0.143227,0.136407
1876,81,0.096036,0.116517,0.105627
1876,82,0.134420,0.152023,0.142578
1876,83,0.133658,0.157599,0.144617
1876,84,0.160945,0.202060,0.179446
1876,85,0.173001,0.213526,0.190841
1876,86,0.186293,0.251884,0.214299
1876,87,0.183154,0.226829,0.201234
1876,88,0.208042,0.246436,0.223534
1876,89,0.203244,0.275396,0.231459
1876,90,0.261436,0.341246,0.291074
1876,91,0.226874,0.284537,0.247436
1876,92,0.271526,0.355380,0.300038
1876,93,0.298559,0.394783,0.329556
1876,94,0.262793,0.343985,0.287334
1876,95,0.320560,0.368606,0.334313
1876,96,0.392205,0.553046,0.435280
1876,97,0.447549,0.578060,0.478692
1876,98,0.468474,0.535942,0.483085
1876,99,0.513522,0.978082,0.597475
1876,100,0.471397,0.186335,0.428031
1876,101,0.569362,0.555015,0.566789
1876,102,0.460678,0.441176,0.457327
1876,103,0.207288,1.854077,0.370844
1877,73,0.062689,0.074175,0.068381
1877,74,0.071061,0.084097,0.077478
1877,75,0.073165,0.087471,0.080163
1877,76,0.082027,0.091470,0.086619
1877,77,0.077918,0.093279,0.085340
1877,78,0.095987,0.112567,0.103934
1877,79,0.078257,0.103531,0.090241
1877,80,0.127664,0.146127,0.136230
1877,81,0.090044,0.112376,0.100288
1877,82,0.123997,0.146848,0.134356
1877,83,0.132124,0.151935,0.141003
1877,84,0.170357,0.213972,0.189581
1877,85,0.163922,0.196798,0.178070
1877,86,0.183261,0.215815,0.197003
1877,87,0.181887,0.234646,0.203684
1877,88,0.215650,0.256245,0.231957
1877,89,0.202282,0.255243,0.222900
1877,90,0.273759,0.297676,0.282870
1877,91,0.229425,0.267080,0.243500
1877,92,0.288192,0.342268,0.307894
1877,93,0.301904,0.357338,0.321261
1877,94,0.293666,0.354764,0.314223
1877,95,0.343310,0.396039,0.360508
1877,96,0.408626,0.579851,0.460575
1877,97,0.429641,0.433708,0.430757
1877,98,0.605787,0.620771,0.609980
1877,99,0.607916,0.907074,0.684181
1877,100,0.534950,0.379027,0.500626
1877,101,0.413764,0.686275,0.470362
1877,102,0.499295,0.744921,0.541634
1877,103,0.452148,3.000000,0.648818
1878,72,0.057765,0.074319,0.065821
1878,73,0.060323,0.071543,0.065744
1878,74,0.059283,0.074558,0.066633
1878,75,0.070898,0.088667,0.079389
1878,76,0.074673,0.095235,0.084426
1878,77,0.079429,0.091620,0.085169
1878,78,0.091283,0.111363,0.100687
1878,79,0.080539,0.100879,0.089982
1878,80,0.127351,0.149799,0.137695
1878,81,0.087226,0.107766,0.096579
1878,82,0.125727,0.158395,0.140398
1878,83,0.138104,0.163727,0.149411
1878,84,0.170610,0.217897,0.191051
1878,85,0.164596,0.190750,0.175669
1878,86,0.188303,0.216197,0.199940
1878,87,0.192948,0.260946,0.220519
1878,88,0.218683,0.255429,0.233064
1878,89,0.194542,0.253713,0.217152
1878,90,0.266014,0.331110,0.289918
1878,91,0.200954,0.271126,0.225554
1878,92,0.263814,0.340169,0.289160
1878,93,0.285083,0.344377,0.303992
1878,94,0.320929,0.375263,0.337537
1878,95,0.319897,0.473240,0.363737
1878,96,0.371971,0.583999,0.424518
1878,97,0.364419,0.306824,0.350898
1878,98,0.606459,0.746290,0.638393
1878,99,0.696259,0.901034,0.736035
