Year,Age,Female,Male,Total
1904,79,0.075663,0.093389,0.084093
1904,80,0.070659,0.085506,0.077565
1904,81,0.080489,0.099236,0.089130
1904,82,0.084582,0.102259,0.092652
1904,83,0.092327,0.117792,0.103811
1904,84,0.102594,0.113144,0.107305
1904,85,0.096758,0.122811,0.108269
1904,86,0.108260,0.129565,0.117554
1904,87,0.128534,0.151675,0.138508
1904,88,0.137546,0.172120,0.152202
1904,89,0.148179,0.176870,0.160123
1904,90,0.171641,0.182644,0.176160
1904,91,0.174062,0.192836,0.181715
1904,92,0.190519,0.200672,0.194614
1904,93,0.210165,0.236347,0.220595
1904,94,0.245351,0.250408,0.247345
1904,95,0.267855,0.284293,0.274328
1904,96,0.268262,0.278631,0.272306
1904,97,0.272625,0.287327,0.278335
1904,98,0.288498,0.320803,0.300815
1904,99,0.312783,0.327317,0.318252
1904,100,0.363300,0.373207,0.366997
1904,101,0.451568,0.450706,0.451248
1904,102,0.541952,0.476099,0.517105
1904,103,0.590525,0.530939,0.566661
1904,104,0.627174,0.681255,0.648370
1904,105,0.929719,0.761696,0.861310
1904,106,1.522701,1.073048,1.306715
1904,107,2.287770,1.285714,1.641944
1905,78,0.063047,0.076237,0.069459
1905,79,0.069021,0.086962,0.077657
1905,80,0.068315,0.088447,0.077770
1905,81,0.078394,0.095255,0.086231
1905,82,0.079742,0.099407,0.088793
1905,83,0.088999,0.111388,0.099187
1905,84,0.089949,0.110605,0.099246
1905,85,0.097745,0.123097,0.109007
1905,86,0.112250,0.132922,0.121310
1905,87,0.123215,0.160648,0.139369
1905,88,0.130602,0.173116,0.148524
1905,89,0.149693,0.188309,0.165579
1905,90,0.162239,0.183680,0.170910
1905,91,0.171006,0.207810,0.185623
1905,92,0.185029,0.216448,0.197269
1905,93,0.217457,0.235905,0.224522
1905,94,0.238616,0.233731,0.236754
1905,95,0.251347,0.266136,0.256954
1905,96,0.260822,0.276433,0.266699
1905,97,0.279086,0.304871,0.288641
1905,98,0.298085,0.311321,0.302936
1905,99,0.341362,0.351680,0.345113
1905,100,0.415915,0.416490,0.416123
1905,101,0.493793,0.447562,0.476881
1905,102,0.543248,0.507529,0.529628
1905,103,0.584153,0.629425,0.601039
1905,104,0.824522,0.709847,0.780599
1905,105,1.134514,0.955979,1.059263
1905,106,0.934358,1.087971,1.001571
1905,107,1.159851,2.288136,1.503876
1906,77,0.058982,0.072336,0.065740
1906,78,0.067193,0.075559,0.071393
1906,79,0.074816,0.090229,0.082486
1906,80,0.070535,0.089005,0.079280
1906,81,0.071807,0.089106,0.079926
1906,82,0.076884,0.097791,0.086598
1906,83,0.082096,0.100387,0.090500
1906,84,0.086611,0.106408,0.095611
