Year,Age,Female,Male,Total
1878,81,0.086736,0.112789,0.095739
1878,82,0.099895,0.108369,0.102791
1878,83,0.111223,0.139574,0.120789
1878,84,0.130276,0.166661,0.142272
1878,85,0.115808,0.165900,0.131882
1878,86,0.137848,0.145148,0.140148
1878,87,0.141960,0.155968,0.146336
1878,88,0.156517,0.177647,0.163035
1878,89,0.173146,0.194242,0.179578
1878,90,0.186089,0.214049,0.194465
1878,91,0.181001,0.207919,0.188880
1878,92,0.222734,0.241224,0.228048
1878,93,0.217844,0.213585,0.216626
1878,94,0.231732,0.192517,0.220299
1878,95,0.183691,0.283060,0.212122
1878,96,0.186649,0.242540,0.201658
1878,97,0.293038,0.268623,0.286614
1878,98,0.265953,0.274050,0.268124
1878,99,0.265695,0.305561,0.276218
1878,100,0.295711,0.326180,0.303518
1878,101,0.333070,0.326961,0.331517
1878,102,0.390050,0.412337,0.395725
1878,103,0.412634,0.486287,0.430580
1878,104,0.366426,0.466667,0.389499
1878,105,0.298932,0.631403,0.364535
1878,106,0.301205,0.995012,0.389809
1878,107,0.376543,2.173469,0.462782
1879,80,0.102220,0.114079,0.106224
1879,81,0.078123,0.092410,0.082898
1879,82,0.111541,0.111817,0.111633
1879,83,0.113300,0.124184,0.116907
1879,84,0.105707,0.128227,0.113107
1879,85,0.120559,0.159071,0.132951
1879,86,0.134869,0.156201,0.141588
1879,87,0.144592,0.168180,0.151910
1879,88,0.149834,0.166240,0.154847
1879,89,0.166231,0.168681,0.166972
1879,90,0.185767,0.212171,0.193697
1879,91,0.161897,0.186853,0.169277
1879,92,0.200383,0.221160,0.206438
1879,93,0.182093,0.199192,0.187009
1879,94,0.187114,0.189255,0.187723
1879,95,0.202517,0.301119,0.229631
1879,96,0.229544,0.272962,0.240843
1879,97,0.259473,0.231426,0.252212
1879,98,0.263203,0.251101,0.260050
1879,99,0.282558,0.305356,0.288491
1879,100,0.315140,0.305165,0.312555
1879,101,0.364058,0.377276,0.367504
1879,102,0.381491,0.433300,0.394576
1879,103,0.350005,0.409010,0.364390
1879,104,0.298356,0.510758,0.345566
1879,105,0.299519,0.680068,0.365152
1879,106,0.367316,0.794595,0.419355
1879,107,0.395289,1.153846,0.452349
1879,108,0.456522,3.000000,0.501095
1880,79,0.056908,0.079509,0.064637
1880,80,0.094026,0.101263,0.096449
1880,81,0.087081,0.095663,0.089943
1880,82,0.105972,0.114061,0.108659
1880,83,0.101230,0.114443,0.105584
1880,84,0.098687,0.125891,0.107517
1880,85,0.118197,0.143980,0.126406
1880,86,0.130150,0.143240,0.134265
1880,87,0.145272,0.157363,0.149039
1880,88,0.151909,0.166856,0.156533
1880,89,0.172373,0.164430,0.169918
1880,90,0.182237,0.195388,0.186288
1880,91,0.171817,0.189663,0.177248
1880,92,0.196274,0.229902,0.206335
1880,93,0.163621,0.221111,0.180307
1880,94,0.204515,0.198323,0.202761
1880,95,0.221266,0.279427,0.237458
1880,96,0.248275,0.284528,0.258057
1880,97,0.236071,0.260390,0.242491
1880,98,0.269773,0.281398,0.272808
1880,99,0.297378,0.286841,0.294649
1880,100,0.339247,0.349438,0.341904
1880,101,0.352448,0.396100,0.363528
1880,102,0.333352,0.372361,0.342992
1880,103,0.295903,0.449037,0.331446
1880,104,0.297426,0.560086,0.348413
1880,105,0.355888,0.574713,0.390498
1880,106,0.383312,0.607387,0.413024
1880,107,0.439574,0.837989,0.479730
1880,108,0.594028,2.009434,0.668486
1881,78,0.087620,0.110227,0.095732
1881,79,0.072485,0.088859,0.078266
1881,80,0.101929,0.112034,0.105388
1881,81,0.084061,0.108102,0.092198
1881,82,0.084943,0.113942,0.094574
1881,83,0.098072,0.120075,0.105250
1881,84,0.108204,0.123726,0.113201
1881,85,0.112807,0.141032,0.121788
1881,86,0.136073,0.145471,0.139019
1881,87,0.142475,0.157308,0.147093
1881,88,0.152392,0.179093,0.160575
1881,89,0.154679,0.185722,0.164004
1881,90,0.175031,0.197913,0.181758
1881,91,0.160332,0.196234,0.170698
1881,92,0.212281,0.208665,0.211257
1881,93,0.164686,0.215332,0.178863
1881,94,0.213034,0.241604,0.220873
1881,95,0.236277,0.243550,0.238225
1881,96,0.233040,0.254559,0.238764
1881,97,0.252203,0.287756,0.261490
1881,98,0.245421,0.310897,0.261911
1881,99,0.315604,0.324006,0.317668
1881,100,0.325677,0.362930,0.334613
1881,101,0.317377,0.341198,0.322973
1881,102,0.291988,0.399237,0.316176
1881,103,0.293870,0.478533,0.330495
1881,104,0.344107,0.460203,0.364363
1881,105,0.369035,0.431138,0.379167
1881,106,0.420078,0.462353,0.426621
1881,107,0.539291,0.529750,0.537827
1881,108,0.716418,0.796364,0.728524
1881,109,0.953313,0.813084,0.933852
1881,110,1.530612,1.500000,1.525253
1882,77,0.058401,0.079759,0.066370
1882,78,0.071794,0.088573,0.077972
1882,79,0.070098,0.082242,0.074528
1882,80,0.098166,0.112509,0.103248
1882,81,0.071037,0.099866,0.081110
1882,82,0.086190,0.107317,0.093451
1882,83,0.100082,0.124778,0.108459
1882,84,0.110122,0.116218,0.112166
1882,85,0.121217,0.150718,0.130981
1882,86,0.143815,0.147819,0.145125
1882,87,0.149200,0.181421,0.159638
1882,88,0.143292,0.181904,0.155507
1882,89,0.154053,0.203526,0.169240
1882,90,0.186174,0.200123,0.190352
1882,91,0.146389,0.199691,0.161998
1882,92,0.214603,0.195099,0.208952
1882,93,0.200571,0.206816,0.202379
1882,94,0.200956,0.263789,0.218729
1882,95,0.235433,0.230434,0.234046
1882,96,0.228045,0.255673,0.235647
1882,97,0.275227,0.318890,0.286903
1882,98,0.245849,0.275571,0.253531
1882,99,0.301379,0.337264,0.310443
1882,100,0.301963,0.319173,0.306229
1882,101,0.286994,0.367737,0.306458
1882,102,0.289360,0.434604,0.321090
1882,103,0.331960,0.413168,0.348100
1882,104,0.356486,0.374165,0.359877
1882,105,0.403392,0.377691,0.398478
1882,106,0.496617,0.389313,0.474933
1882,107,0.628971,0.467930,0.592714
1882,108,0.760963,0.579208,0.714103
1882,109,0.826004,1.005076,0.875000
1882,110,1.414847,3.000000,1.603846
1883,76,0.048339,0.064076,0.053858
1883,77,0.048533,0.068967,0.055658
1883,78,0.061777,0.080971,0.068428
1883,79,0.057934,0.080464,0.065685
1883,80,0.090125,0.097843,0.092945
1883,81,0.076451,0.096470,0.083701
1883,82,0.089259,0.105488,0.095071
1883,83,0.099603,0.115839,0.105346
1883,84,0.106666,0.116156,0.110001
1883,85,0.121635,0.143194,0.129142
1883,86,0.146398,0.145405,0.146055
1883,87,0.145467,0.171628,0.154429
1883,88,0.149351,0.155836,0.151542
1883,89,0.161459,0.191907,0.171650
1883,90,0.185607,0.176116,0.182454
1883,91,0.152323,0.192630,0.165609
1883,92,0.196325,0.206935,0.199760
1883,93,0.207774,0.212725,0.209372
1883,94,0.220884,0.216504,0.219480
1883,95,0.214924,0.245884,0.224838
1883,96,0.242251,0.241756,0.242096
1883,97,0.265458,0.373988,0.298919
1883,98,0.245250,0.249581,0.246511
1883,99,0.288114,0.304505,0.292829
1883,100,0.282284,0.348923,0.301049
1883,101,0.285658,0.413524,0.318889
1883,102,0.322678,0.398562,0.340873
1883,103,0.347380,0.363682,0.351164
1883,104,0.393126,0.364982,0.386594
1883,105,0.470371,0.373243,0.446687
1883,106,0.584493,0.436576,0.544944
1883,107,0.694444,0.518939,0.641553
1883,108,0.739910,0.813084,0.763636
1883,109,0.964286,2.236364,1.243028
1884,75,0.055980,0.071473,0.061550
1884,76,0.054091,0.067257,0.058771
1884,77,0.071057,0.089087,0.077389
1884,78,0.073849,0.097374,0.081989
1884,79,0.066127,0.081467,0.071352
1884,80,0.083992,0.097987,0.088689
1884,81,0.075960,0.094400,0.082079
1884,82,0.088330,0.100969,0.092477
1884,83,0.098950,0.113258,0.103612
1884,84,0.107314,0.124995,0.113009
1884,85,0.122744,0.141248,0.128619
1884,86,0.134609,0.137627,0.135561
1884,87,0.137335,0.153707,0.142466
1884,88,0.148302,0.144938,0.147250
1884,89,0.151717,0.169180,0.157146
1884,90,0.177512,0.167304,0.174347
1884,91,0.170590,0.189528,0.176437
1884,92,0.177901,0.196565,0.183605
1884,93,0.202001,0.204038,0.202617
1884,94,0.219562,0.175119,0.205911
1884,95,0.216188,0.265563,0.231400
1884,96,0.244708,0.211238,0.234478
1884,97,0.239474,0.387303,0.283126
1884,98,0.238736,0.261330,0.244989
1884,99,0.276380,0.327528,0.290302
1884,100,0.280657,0.387533,0.307883
1884,101,0.312762,0.375671,0.327738
1884,102,0.337481,0.342407,0.338625
1884,103,0.381623,0.338341,0.371451
1884,104,0.443578,0.334919,0.416498
1884,105,0.541730,0.375448,0.495879
1884,106,0.634281,0.414286,0.564586
1884,107,0.661718,0.546479,0.620129
1884,108,0.820261,0.796610,0.811594
1884,109,1.380192,1.114679,1.271186
1884,110,3.000000,3.000000,3.000000
1885,74,0.051263,0.056833,0.053221
1885,75,0.052550,0.069630,0.058479
1885,76,0.059321,0.064464,0.061081
1885,77,0.061845,0.077324,0.067077
1885,78,0.065149,0.076555,0.068940
1885,79,0.065907,0.071873,0.067866
1885,80,0.082138,0.093888,0.085715
1885,81,0.076184,0.091235,0.080728
1885,82,0.093318,0.105600,0.096994
1885,83,0.099342,0.127952,0.107780
1885,84,0.109794,0.134648,0.116983
1885,85,0.126323,0.137886,0.129625
1885,86,0.129015,0.142883,0.132945
1885,87,0.133728,0.154366,0.139500
1885,88,0.142005,0.159035,0.146696
1885,89,0.160234,0.189306,0.168116
1885,90,0.191263,0.187335,0.190211
1885,91,0.174494,0.205941,0.182873
1885,92,0.167645,0.182626,0.171551
1885,93,0.208307,0.181712,0.201348
1885,94,0.212408,0.162258,0.198878
1885,95,0.229701,0.294102,0.247058
1885,96,0.217841,0.206177,0.214764
1885,97,0.244992,0.349510,0.271619
1885,98,0.263277,0.304578,0.273281
1885,99,0.274277,0.370577,0.296418
1885,100,0.301807,0.364987,0.315410
1885,101,0.326614,0.336248,0.328630
1885,102,0.368657,0.333983,0.361339
1885,103,0.416884,0.330000,0.397637
1885,104,0.500140,0.368142,0.468344
1885,105,0.576792,0.406291,0.530704
1885,106,0.596845,0.530375,0.576923
1885,107,0.712625,0.773031,0.730333
1885,108,0.998684,1.112903,1.031776
1885,109,1.422414,3.000000,1.683453
1886,73,0.042178,0.052725,0.045716
1886,74,0.047424,0.058491,0.051101
1886,75,0.056549,0.080311,0.064325
1886,76,0.060478,0.068912,0.063201
1886,77,0.055756,0.070002,0.060298
1886,78,0.073585,0.081804,0.076179
1886,79,0.075760,0.088992,0.079888
1886,80,0.087234,0.089898,0.088018
1886,81,0.076571,0.102246,0.084069
1886,82,0.097616,0.116324,0.102984
1886,83,0.104715,0.139815,0.114602
1886,84,0.111139,0.134056,0.117454
1886,85,0.125410,0.143127,0.130224
1886,86,0.133677,0.162675,0.141415
1886,87,0.136077,0.159083,0.142096
1886,88,0.156258,0.169251,0.159616
1886,89,0.175730,0.202303,0.182496
1886,90,0.196193,0.184233,0.193160
1886,91,0.165811,0.212362,0.177466
1886,92,0.185022,0.218051,0.193084
1886,93,0.218391,0.189719,0.211437
1886,94,0.212260,0.189433,0.206613
1886,95,0.218616,0.296636,0.237467
1886,96,0.201155,0.216462,0.204730
