Year,Age,Female,Male,Total
1886,74,0.051941,0.077296,0.062921
1886,75,0.064458,0.083679,0.072683
1886,76,0.081045,0.091979,0.085678
1886,77,0.072495,0.100733,0.084350
1886,78,0.081840,0.105890,0.091764
1886,79,0.101682,0.108706,0.104551
1886,80,0.106906,0.128396,0.115760
1886,81,0.116550,0.142919,0.127204
1886,82,0.141184,0.171169,0.153129
1886,83,0.139173,0.171424,0.151841
1886,84,0.132257,0.222347,0.166320
1886,85,0.162880,0.194032,0.174191
1886,86,0.184273,0.177919,0.181986
1886,87,0.210461,0.248629,0.224118
1886,88,0.266003,0.254869,0.262097
1886,89,0.243120,0.316568,0.268838
1886,90,0.227470,0.405606,0.283869
1886,91,0.288116,0.296273,0.290540
1886,92,0.249686,0.228381,0.243396
1886,93,0.268334,0.446512,0.318819
1886,94,0.229563,0.706826,0.340317
1886,95,0.420661,0.948980,0.494822
1886,96,0.421243,0.253994,0.402537
1886,97,0.410546,0.714286,0.445015
1886,98,0.317370,0.952096,0.360390
1886,99,0.173481,0.000000,0.162651
1886,100,0.550820,1.500000,0.606481
1887,73,0.050180,0.083170,0.064799
1887,74,0.061501,0.076064,0.067858
1887,75,0.063399,0.095876,0.077398
1887,76,0.073762,0.094839,0.082703
1887,77,0.075321,0.111074,0.090191
1887,78,0.087340,0.117652,0.099708
1887,79,0.102304,0.105122,0.103440
1887,80,0.091890,0.134316,0.109025
1887,81,0.129950,0.133465,0.131351
1887,82,0.124274,0.146212,0.132947
1887,83,0.139583,0.168840,0.150927
1887,84,0.140743,0.192522,0.160317
1887,85,0.156177,0.204721,0.174065
1887,86,0.167750,0.207562,0.182027
1887,87,0.199395,0.227775,0.209249
1887,88,0.222008,0.255202,0.233464
1887,89,0.241025,0.375091,0.284260
1887,90,0.245637,0.243563,0.245003
1887,91,0.261626,0.295241,0.271969
1887,92,0.286754,0.196478,0.258619
1887,93,0.327930,0.475279,0.373786
1887,94,0.221663,0.925664,0.388415
1887,95,0.464501,0.666173,0.494311
1887,96,0.204241,0.000000,0.174702
1887,97,0.242321,0.879154,0.325687
1887,98,0.558095,0.503571,0.553644
1887,99,0.387302,0.000000,0.352601
1887,100,0.661439,3.000000,0.787958
1888,72,0.040203,0.055684,0.047115
1888,73,0.047021,0.070533,0.057428
1888,74,0.067436,0.076533,0.071444
1888,75,0.058572,0.083109,0.069307
1888,76,0.059633,0.079347,0.068186
1888,77,0.074888,0.094595,0.083390
1888,78,0.079400,0.114020,0.094187
1888,79,0.102422,0.101658,0.102099
1888,80,0.092247,0.142632,0.112435
1888,81,0.116442,0.135336,0.123848
1888,82,0.123325,0.167643,0.140387
1888,83,0.141626,0.181469,0.156601
1888,84,0.168335,0.160704,0.165516
1888,85,0.157966,0.238799,0.187340
1888,86,0.181162,0.229200,0.197798
1888,87,0.240883,0.210506,0.230409
1888,88,0.189509,0.226741,0.202261
1888,89,0.242008,0.287173,0.257228
1888,90,0.221148,0.234872,0.225739
1888,91,0.264652,0.302485,0.276881
1888,92,0.333915,0.308115,0.325595
1888,93,0.377000,0.437671,0.395951
1888,94,0.303114,0.609789,0.387632
1888,95,0.328165,0.685514,0.412146
1888,96,0.151110,0.358779,0.186816
1888,97,0.251625,1.161654,0.345705
1888,98,0.575008,0.919075,0.594050
1888,99,0.433633,0.000000,0.406217
1888,100,0.769663,1.500000,0.820557
1889,71,0.045227,0.055263,0.049718
1889,72,0.039547,0.060795,0.048942
1889,73,0.051433,0.070528,0.059755
1889,74,0.063645,0.084695,0.072687
1889,75,0.052282,0.087123,0.066974
1889,76,0.059448,0.089058,0.071646
1889,77,0.068410,0.096968,0.079902
1889,78,0.086798,0.119566,0.099660
1889,79,0.100457,0.117209,0.106917
1889,80,0.107674,0.144821,0.122423
1889,81,0.120057,0.133932,0.125487
1889,82,0.124875,0.176297,0.144622
1889,83,0.132820,0.190560,0.154218
1889,84,0.170582,0.170559,0.170574
1889,85,0.151400,0.246679,0.185083
1889,86,0.224634,0.197174,0.215205
1889,87,0.241931,0.263568,0.249471
1889,88,0.196867,0.177386,0.190125
1889,89,0.262793,0.278237,0.268110
1889,90,0.203503,0.277541,0.228148
1889,91,0.227642,0.341385,0.263909
1889,92,0.297894,0.319730,0.304419
1889,93,0.325406,0.271737,0.309021
1889,94,0.353752,0.294285,0.334842
1889,95,0.356012,0.684395,0.451110
1889,96,0.486380,0.617225,0.518204
1889,97,0.529074,0.535844,0.530695
1889,98,0.472205,0.581443,0.497603
1889,99,0.272975,0.000000,0.214900
1889,100,1.363139,2.152174,1.521866
1890,70,0.034898,0.053450,0.043108
1890,71,0.042849,0.061432,0.050984
1890,72,0.046011,0.058387,0.051370
1890,73,0.046651,0.075181,0.058872
1890,74,0.059990,0.088242,0.071878
1890,75,0.058601,0.100959,0.076026
1890,76,0.068836,0.124442,0.091076
1890,77,0.077943,0.109019,0.090151
1890,78,0.087480,0.116833,0.098937
1890,79,0.111477,0.134453,0.120393
1890,80,0.118726,0.139610,0.126381
1890,81,0.124761,0.134746,0.128384
1890,82,0.095418,0.177779,0.124580
1890,83,0.134781,0.152391,0.140773
1890,84,0.159447,0.203662,0.174251
1890,85,0.171603,0.219151,0.186958
1890,86,0.188222,0.188982,0.188466
1890,87,0.181189,0.283168,0.212683
1890,88,0.171729,0.194611,0.178461
1890,89,0.280791,0.222626,0.263592
1890,90,0.269837,0.210213,0.251341
1890,91,0.247446,0.271544,0.254989
1890,92,0.267660,0.262835,0.266127
1890,93,0.330762,0.310935,0.324461
1890,94,0.280747,0.285143,0.282151
1890,95,0.436294,0.645217,0.499912
1890,96,0.459221,0.493151,0.468323
1890,97,0.500000,0.407276,0.476038
1890,98,0.379012,1.298429,0.586751
1890,99,0.321898,0.000000,0.283967
1890,100,0.761364,3.000000,0.921454
1891,69,0.035046,0.048102,0.040952
1891,70,0.033340,0.049862,0.040750
1891,71,0.043521,0.072432,0.056319
1891,72,0.038978,0.064934,0.050289
1891,73,0.042884,0.068719,0.053924
1891,74,0.056514,0.080438,0.066580
1891,75,0.060607,0.091273,0.073290
1891,76,0.078261,0.110554,0.091275
1891,77,0.086822,0.114665,0.097811
1891,78,0.078347,0.120912,0.094698
1891,79,0.099944,0.142923,0.115942
1891,80,0.097891,0.121110,0.106626
1891,81,0.104546,0.150682,0.121589
1891,82,0.097377,0.179914,0.126439
1891,83,0.139494,0.145562,0.141575
1891,84,0.162655,0.201251,0.175667
1891,85,0.182130,0.212438,0.192155
1891,86,0.163219,0.223554,0.182493
1891,87,0.175440,0.244842,0.196555
1891,88,0.181698,0.231943,0.196478
1891,89,0.260372,0.220313,0.248664
1891,90,0.265049,0.265813,0.265276
1891,91,0.274944,0.156255,0.238971
1891,92,0.283720,0.382064,0.314239
1891,93,0.330496,0.292726,0.319251
1891,94,0.278796,0.293370,0.283221
1891,95,0.396226,0.669702,0.471581
1891,96,0.391947,0.503650,0.418586
1891,97,0.573465,0.386503,0.526868
1891,98,0.281852,2.038636,0.576659
1892,68,0.026799,0.048499,0.036650
1892,69,0.035405,0.048570,0.041343
1892,70,0.037484,0.056720,0.046103
1892,71,0.046298,0.069604,0.056634
1892,72,0.035030,0.076566,0.053193
1892,73,0.049049,0.068168,0.057300
1892,74,0.053870,0.075205,0.063006
1892,75,0.055588,0.089811,0.070057
1892,76,0.077707,0.094328,0.084656
1892,77,0.083260,0.099248,0.089893
1892,78,0.089435,0.108733,0.097385
1892,79,0.103132,0.116042,0.108377
1892,80,0.088695,0.134401,0.105911
1892,81,0.096701,0.175534,0.125202
1892,82,0.113485,0.156395,0.128383
1892,83,0.135348,0.174698,0.148691
1892,84,0.149111,0.208120,0.168497
1892,85,0.162173,0.268816,0.195337
1892,86,0.147905,0.203495,0.164081
1892,87,0.184260,0.205643,0.190322
1892,88,0.222352,0.282010,0.238754
1892,89,0.202982,0.219658,0.207452
1892,90,0.284568,0.362241,0.304728
1892,91,0.265813,0.193584,0.246992
1892,92,0.323087,0.380552,0.337844
1892,93,0.321816,0.276876,0.310014
1892,94,0.354833,0.313816,0.343870
1892,95,0.314293,0.514756,0.366721
1892,96,0.444580,0.340308,0.419572
1892,97,0.234624,0.477327,0.293203
1892,98,0.220976,1.033445,0.345651
1892,99,0.359318,0.000000,0.315171
1892,100,0.227376,0.696429,0.291504
1892,101,0.298070,3.000000,0.391304
1893,67,0.030528,0.035608,0.032839
1893,68,0.028697,0.049788,0.038210
1893,69,0.028064,0.045219,0.035700
1893,70,0.032247,0.050524,0.040281
1893,71,0.045697,0.060603,0.052174
1893,72,0.037934,0.073435,0.053089
1893,73,0.045270,0.079076,0.059378
1893,74,0.051905,0.080642,0.063709
1893,75,0.056491,0.094058,0.071666
1893,76,0.061702,0.092415,0.073908
1893,77,0.076842,0.090469,0.082206
1893,78,0.075747,0.101009,0.085576
1893,79,0.083051,0.109053,0.093011
1893,80,0.095078,0.148450,0.114600
1893,81,0.117420,0.154798,0.130665
1893,82,0.119898,0.168938,0.136889
1893,83,0.123012,0.194468,0.146782
1893,84,0.132744,0.215271,0.158745
1893,85,0.155315,0.251439,0.183638
1893,86,0.131929,0.158568,0.139476
1893,87,0.189938,0.229257,0.200846
1893,88,0.236620,0.263606,0.243910
1893,89,0.225818,0.234980,0.228254
1893,90,0.318567,0.305052,0.314994
1893,91,0.196497,0.279685,0.218330
1893,92,0.277076,0.325447,0.289180
1893,93,0.300413,0.375439,0.317962
1893,94,0.347515,0.245397,0.323874
1893,95,0.327040,0.607970,0.389220
1893,96,0.424338,0.329558,0.405211
1893,97,0.142133,0.687384,0.236829
1893,98,0.332013,0.561798,0.358845
1893,99,0.266112,0.000000,0.234647
1893,100,0.419310,1.175115,0.487876
1893,101,0.539063,0.000000,0.488669
1893,102,0.177879,0.000000,0.154609
1893,103,0.000000,0.000000,0.000000
1893,104,0.230769,1.500000,0.369863
1894,66,0.024180,0.036862,0.030006
1894,67,0.035784,0.038813,0.037174
1894,68,0.031831,0.051583,0.040864
1894,69,0.030080,0.048465,0.038429
1894,70,0.033356,0.044618,0.038442
1894,71,0.042741,0.065902,0.053148
1894,72,0.038460,0.074454,0.054425
1894,73,0.043696,0.072230,0.056049
1894,74,0.057799,0.095001,0.073555
1894,75,0.059016,0.082884,0.068874
1894,76,0.064771,0.094607,0.076835
1894,77,0.087683,0.091764,0.089316
1894,78,0.075988,0.107673,0.088552
1894,79,0.084583,0.117482,0.097374
1894,80,0.100996,0.139454,0.115683
1894,81,0.117047,0.154285,0.130988
1894,82,0.119504,0.169401,0.137588
1894,83,0.133973,0.185566,0.152059
1894,84,0.123663,0.188134,0.145477
1894,85,0.160447,0.195910,0.172068
1894,86,0.148268,0.174800,0.156771
1894,87,0.173555,0.264471,0.201722
1894,88,0.203863,0.254437,0.218670
1894,89,0.231580,0.264079,0.240808
1894,90,0.263539,0.263465,0.263518
1894,91,0.169654,0.363629,0.220550
1894,92,0.278348,0.385097,0.302790
1894,93,0.247281,0.299653,0.258634
1894,94,0.305917,0.287433,0.301884
1894,95,0.384282,0.558489,0.419622
1894,96,0.549862,0.413624,0.523396
1894,97,0.279491,1.060081,0.412111
1894,98,0.305579,0.466276,0.319864
1894,99,0.322342,0.000000,0.291262
1894,100,0.697318,0.483871,0.668137
1894,101,0.669544,0.000000,0.554648
1894,102,1.000000,0.000000,0.706806
1894,103,0.000000,0.000000,0.000000
1894,104,1.500000,3.000000,2.075342
1895,65,0.016880,0.033780,0.024441
1895,66,0.020668,0.045580,0.031699
1895,67,0.025599,0.041599,0.032607
1895,68,0.026328,0.043796,0.033909
1895,69,0.031466,0.054846,0.041514
1895,70,0.034815,0.050776,0.041609
1895,71,0.033743,0.072392,0.049962
1895,72,0.042305,0.085061,0.059859
1895,73,0.046593,0.069874,0.055991
1895,74,0.053159,0.099849,0.071661
1895,75,0.055977,0.090884,0.069536
1895,76,0.065395,0.099953,0.078554
1895,77,0.067846,0.099485,0.079722
1895,78,0.081580,0.113467,0.093299
1895,79,0.089740,0.134335,0.105824
1895,80,0.097692,0.134207,0.111064
1895,81,0.099195,0.157250,0.119800
1895,82,0.106798,0.148680,0.121214
1895,83,0.133266,0.174163,0.146966
