Year,Age,Female,Male,Total
1867,81,0.067067,0.039565,0.051886
1867,82,0.034642,0.130928,0.087603
1867,83,0.054887,0.047950,0.051184
1867,84,0.118706,0.101666,0.109584
1867,85,0.042851,0.113511,0.080140
1867,86,0.165815,0.083589,0.121893
1867,87,0.167991,0.192104,0.180897
1867,88,0.201995,0.111503,0.152267
1867,89,0.077680,0.192949,0.140834
1867,90,0.130015,0.201288,0.167203
1867,91,0.096774,0.090198,0.093354
1867,92,0.051184,0.270173,0.158817
1867,93,0.000000,0.131810,0.058835
1867,94,0.000000,0.318061,0.127021
1867,95,0.389392,0.000000,0.237757
1867,96,0.078568,0.369796,0.193798
1867,97,0.269207,0.000000,0.165096
1867,98,0.513158,0.760618,0.613459
1867,99,0.236111,0.000000,0.141274
1867,100,0.825974,0.000000,0.387805
1867,101,0.000000,0.346154,0.201794
1867,102,0.607759,0.868421,0.725118
1867,103,0.000000,1.500000,0.592105
1868,80,0.275062,0.122055,0.196945
1868,81,0.046829,0.029258,0.037506
1868,82,0.125436,0.211738,0.169939
1868,83,0.078916,0.095539,0.087373
1868,84,0.060860,0.083229,0.072170
1868,85,0.044398,0.044398,0.044398
1868,86,0.045384,0.045866,0.045625
1868,87,0.152988,0.099548,0.125944
1868,88,0.117028,0.053242,0.083952
1868,89,0.133202,0.181376,0.158194
1868,90,0.191570,0.177305,0.184204
1868,91,0.000000,0.127479,0.064415
1868,92,0.000000,0.201342,0.093226
1868,93,0.044040,0.181452,0.101937
1868,94,0.000000,0.321086,0.116319
1868,95,0.148379,0.184177,0.160587
1868,96,0.168489,0.121685,0.153240
1868,97,0.220210,0.000000,0.138822
1868,98,0.513131,1.161290,0.735398
1868,99,0.426087,0.000000,0.323077
1868,100,0.430556,0.000000,0.285276
1868,101,0.000000,0.750000,0.241935
1868,102,0.446629,0.000000,0.305182
1868,103,0.550781,3.000000,0.983923
1872,76,0.167743,0.239506,0.212699
1872,77,0.050033,0.146281,0.098536
1872,78,0.220249,0.220278,0.220265
1872,79,0.201310,0.219307,0.211747
1872,80,0.230947,0.141472,0.180178
1872,81,0.049787,0.034870,0.041088
1872,82,0.035006,0.062844,0.051236
1872,83,0.053137,0.095873,0.077872
1872,84,0.163170,0.170664,0.167411
1872,85,0.142812,0.227117,0.189498
1872,86,0.107933,0.358286,0.235884
1872,87,0.185879,0.274725,0.227943
1872,88,0.148742,0.082965,0.117731
1872,89,0.322680,0.294617,0.309068
1872,90,0.248543,0.328622,0.287398
1872,91,0.073064,0.087311,0.079554
1872,92,0.080950,0.591949,0.288462
1872,93,0.289762,0.183374,0.253058
1872,94,0.249377,0.535336,0.340871
1872,95,0.524033,0.432133,0.496705
1872,96,0.303571,0.000000,0.188192
1872,97,0.000000,0.551724,0.201681
1872,98,0.435897,0.000000,0.296512
1872,99,0.000000,0.000000,0.000000
1872,100,0.000000,0.000000,0.000000
1872,101,0.000000,0.000000,0.000000
1872,102,0.000000,0.000000,0.000000
1872,103,0.000000,3.000000,0.464789
1873,75,0.141277,0.102530,0.117761
1873,76,0.185567,0.277623,0.242859
1873,77,0.104589,0.049370,0.074099
1873,78,0.235574,0.234126,0.234723
1873,79,0.094709,0.184330,0.145699
1873,80,0.195074,0.127379,0.161900
1873,81,0.041881,0.013957,0.027872
1873,82,0.089618,0.086422,0.088009
1873,83,0.032476,0.110349,0.070832
1873,84,0.173110,0.223640,0.197435
1873,85,0.141732,0.135000,0.138551
1873,86,0.189975,0.210942,0.199884
1873,87,0.205520,0.232512,0.218165
1873,88,0.138547,0.203404,0.168518
1873,89,0.301386,0.387491,0.339118
1873,90,0.286917,0.337041,0.307344
1873,91,0.145349,0.000000,0.081967
1873,92,0.000000,0.334572,0.138079
1873,93,0.170068,0.000000,0.103093
1873,94,0.204918,0.000000,0.114943
1873,95,0.589339,0.131148,0.351018
1873,96,0.773684,0.503497,0.611345
1873,97,0.000000,0.717703,0.432277
1873,98,0.000000,0.000000,0.000000
1873,99,0.000000,0.000000,0.000000
1873,100,0.000000,0.600000,0.269461
1873,101,0.000000,1.500000,0.368852
1874,74,0.060185,0.135319,0.103488
1874,75,0.170666,0.173447,0.172405
1874,76,0.155840,0.178978,0.169662
1874,77,0.130547,0.045461,0.082714
1874,78,0.163600,0.225398,0.200401
1874,79,0.123269,0.109756,0.115412
1874,80,0.164669,0.135936,0.150629
1874,81,0.066755,0.013111,0.040067
1874,82,0.163572,0.128941,0.145889
1874,83,0.031757,0.047500,0.039852
1874,84,0.085744,0.174767,0.130420
1874,85,0.135571,0.164028,0.149465
1874,86,0.260479,0.227541,0.244564
1874,87,0.083492,0.253593,0.164161
1874,88,0.157828,0.250349,0.197600
1874,89,0.149138,0.269397,0.198468
1874,90,0.176315,0.127249,0.156353
1874,91,0.049132,0.070436,0.057782
1874,92,0.103341,0.163221,0.126556
1874,93,0.057626,0.000000,0.034949
1874,94,0.189890,0.089634,0.148723
1874,95,0.246353,0.215827,0.233261
1874,96,0.341518,0.503226,0.407652
1874,97,0.128722,0.482315,0.253401
