Year,Age,Female,Male,Total
1867,81,0.096407,0.110620,0.102821
1867,82,0.110384,0.126633,0.117648
1867,83,0.124388,0.149811,0.135622
1867,84,0.152285,0.171165,0.160526
1867,85,0.144503,0.168824,0.154986
1867,86,0.160123,0.193070,0.174102
1867,87,0.167400,0.202555,0.182016
1867,88,0.199016,0.221216,0.208073
1867,89,0.230455,0.219018,0.225794
1867,90,0.212058,0.253286,0.228679
1867,91,0.234196,0.289874,0.256036
1867,92,0.275669,0.346667,0.302323
1867,93,0.246102,0.324533,0.274321
1867,94,0.273940,0.401198,0.317204
1867,95,0.356638,0.448260,0.384646
1867,96,0.359860,0.444596,0.385253
1867,97,0.394088,0.355472,0.383187
1867,98,0.517331,0.737072,0.577174
1867,99,0.627846,0.281079,0.532301
1867,100,0.478193,0.465190,0.473883
1867,101,0.418338,0.287081,0.374642
1867,102,0.311441,1.016949,0.518943
1867,103,0.896719,0.529412,0.809833
1867,104,0.000000,3.000000,0.334686
1868,80,0.090308,0.112150,0.100285
1868,81,0.088881,0.117239,0.101664
1868,82,0.111493,0.141864,0.124974
1868,83,0.125487,0.153433,0.137677
1868,84,0.140060,0.170367,0.153066
1868,85,0.133510,0.169742,0.148770
1868,86,0.152274,0.196496,0.170449
1868,87,0.170435,0.221319,0.190782
1868,88,0.193812,0.223982,0.205574
1868,89,0.210163,0.250714,0.225641
1868,90,0.218329,0.266826,0.236301
1868,91,0.211848,0.265654,0.231106
1868,92,0.267256,0.297071,0.277666
1868,93,0.258721,0.351596,0.290024
1868,94,0.247368,0.464714,0.313323
1868,95,0.377861,0.327100,0.363502
1868,96,0.362447,0.514542,0.403701
1868,97,0.466993,0.476766,0.469553
1868,98,0.496476,0.549025,0.509473
1868,99,0.469433,0.303877,0.425893
1868,100,0.328648,0.396226,0.346344
1868,101,0.387222,0.383260,0.386160
1868,102,0.654352,0.485294,0.611069
1868,103,0.728019,1.753846,1.011036
1871,77,0.081474,0.080497,0.081000
1871,78,0.085879,0.111454,0.097610
1871,79,0.095420,0.121836,0.107973
1871,80,0.094721,0.109821,0.101765
1871,81,0.088819,0.111296,0.099183
1871,82,0.104840,0.130168,0.116393
1871,83,0.107591,0.134416,0.119634
1871,84,0.138865,0.175932,0.155259
1871,85,0.137006,0.202246,0.164993
1871,86,0.169979,0.196453,0.181028
1871,87,0.182327,0.211961,0.194506
1871,88,0.184614,0.214241,0.196555
1871,89,0.201174,0.264245,0.225955
1871,90,0.237033,0.242799,0.239250
1871,91,0.219713,0.234452,0.225319
1871,92,0.273536,0.336937,0.297157
1871,93,0.302783,0.304141,0.303277
1871,94,0.364564,0.358790,0.362473
