Year,Age,Female,Male,Total
1878,80,0.111298,0.136915,0.120288
1878,81,0.114939,0.140618,0.123787
1878,82,0.121396,0.148391,0.130547
1878,83,0.140415,0.173892,0.151547
1878,84,0.149690,0.176108,0.158293
1878,85,0.159401,0.189796,0.169104
1878,86,0.176282,0.205506,0.185415
1878,87,0.186195,0.222910,0.197428
1878,88,0.219892,0.250717,0.229091
1878,89,0.214891,0.235180,0.220842
1878,90,0.258867,0.290243,0.267887
1878,91,0.270860,0.327140,0.286553
1878,92,0.306435,0.302521,0.305366
1878,93,0.320728,0.352955,0.329447
1878,94,0.315558,0.402972,0.338213
1878,95,0.364575,0.328189,0.355354
1878,96,0.364030,0.395649,0.372018
1878,97,0.394965,0.396171,0.395270
1878,98,0.420573,0.458203,0.429833
1878,99,0.385672,0.350424,0.377043
1878,100,0.424021,0.532496,0.450218
1878,101,0.347390,0.352227,0.348507
1878,102,0.475597,0.489130,0.478744
1878,103,0.490873,0.589769,0.512681
1878,104,0.543871,0.585865,0.552541
1878,105,0.571030,0.610390,0.579099
1878,106,0.727468,1.037037,0.782724
1878,107,0.910319,2.178947,1.042904
1879,79,0.099465,0.114519,0.104978
1879,80,0.105958,0.130468,0.114590
1879,81,0.114228,0.140886,0.123459
1879,82,0.131912,0.164773,0.143073
1879,83,0.132297,0.168088,0.144168
1879,84,0.146846,0.181384,0.158033
1879,85,0.157073,0.194746,0.168985
1879,86,0.171238,0.202406,0.180853
1879,87,0.196650,0.229452,0.206546
1879,88,0.195041,0.221948,0.202976
1879,89,0.222313,0.268127,0.235510
1879,90,0.266714,0.301767,0.276549
1879,91,0.277104,0.314187,0.287168
1879,92,0.291909,0.312634,0.297429
1879,93,0.306267,0.364648,0.321395
1879,94,0.326296,0.355963,0.333661
1879,95,0.358403,0.356498,0.357933
1879,96,0.350857,0.380922,0.358256
1879,97,0.432422,0.464121,0.439939
1879,98,0.409726,0.471687,0.424148
1879,99,0.301877,0.294481,0.300204
1879,100,0.338932,0.353020,0.342073
1879,101,0.452757,0.464148,0.455301
1879,102,0.462198,0.532349,0.477243
1879,103,0.504908,0.505954,0.505124
1879,104,0.527859,0.510109,0.524092
1879,105,0.640806,0.720703,0.657189
1879,106,0.723458,0.792812,0.736842
1879,107,0.776699,1.119171,0.835714
1879,108,0.792176,3.000000,0.933638
1880,78,0.086195,0.120636,0.097915
1880,79,0.082231,0.113002,0.092466
1880,80,0.099756,0.125070,0.108394
1880,81,0.119804,0.140861,0.126875
1880,82,0.120132,0.154661,0.131517
1880,83,0.133194,0.160841,0.142118
1880,84,0.144617,0.173197,0.153667
1880,85,0.157141,0.183919,0.165459
1880,86,0.186783,0.207726,0.193184
1880,87,0.189891,0.215411,0.197563
1880,88,0.209453,0.254175,0.222588
1880,89,0.234894,0.274327,0.246127
1880,90,0.254740,0.311550,0.270333
1880,91,0.271457,0.277556,0.273090
1880,92,0.282854,0.312478,0.290710
1880,93,0.288959,0.326265,0.298579
1880,94,0.332719,0.340362,0.334670
1880,95,0.351547,0.363121,0.354470
1880,96,0.380088,0.407389,0.386850
1880,97,0.442721,0.425388,0.438427
1880,98,0.327128,0.371101,0.337856
1880,99,0.279665,0.279622,0.279655
1880,100,0.433331,0.448376,0.436948
1880,101,0.439921,0.497223,0.453223
1880,102,0.479005,0.469716,0.476902
1880,103,0.506482,0.480454,0.500412
1880,104,0.607830,0.645467,0.616477
1880,105,0.679907,0.663436,0.676158
1880,106,0.713386,0.785841,0.729960
1880,107,0.696605,1.268657,0.799820
1880,108,0.816372,1.500000,0.894118
1881,77,0.089137,0.103352,0.094474
1881,78,0.090866,0.111812,0.098644
1881,79,0.097390,0.122207,0.106473
1881,80,0.104568,0.131605,0.113935
1881,81,0.108492,0.141427,0.119680
1881,82,0.114869,0.152507,0.127361
1881,83,0.127780,0.155359,0.136726
1881,84,0.132401,0.165669,0.142974
1881,85,0.156808,0.191322,0.167531
1881,86,0.165980,0.179047,0.169963
1881,87,0.185654,0.214617,0.194371
1881,88,0.200467,0.251232,0.215314
1881,89,0.230947,0.277163,0.243997
1881,90,0.247030,0.283048,0.256894
1881,91,0.269838,0.281872,0.273082
1881,92,0.289090,0.325570,0.298731
1881,93,0.311297,0.317049,0.312789
1881,94,0.312120,0.359392,0.324171
1881,95,0.350534,0.388982,0.359996
1881,96,0.386645,0.397699,0.389315
1881,97,0.341094,0.386043,0.351749
1881,98,0.350715,0.368834,0.354898
1881,99,0.289290,0.317328,0.295682
1881,100,0.417009,0.462163,0.426967
1881,101,0.452907,0.434481,0.448908
1881,102,0.483558,0.449353,0.475874
1881,103,0.573967,0.576777,0.574599
1881,104,0.632953,0.555556,0.615047
1881,105,0.648312,0.582547,0.631980
1881,106,0.602993,0.652568,0.615298
1881,107,0.642473,0.758721,0.669863
1881,108,1.071882,2.049505,1.243902
1882,76,0.068742,0.094032,0.077774
1882,77,0.072575,0.100144,0.082252
1882,78,0.083135,0.106372,0.091155
1882,79,0.094786,0.119604,0.103222
1882,80,0.101180,0.134225,0.112410
1882,81,0.108971,0.135940,0.117955
1882,82,0.123103,0.153145,0.132929
1882,83,0.129400,0.155908,0.137894
1882,84,0.159047,0.181159,0.166008
1882,85,0.154635,0.185773,0.164276
1882,86,0.177498,0.213354,0.188344
1882,87,0.201880,0.233701,0.211278
1882,88,0.207881,0.251860,0.220522
1882,89,0.228259,0.268394,0.239452
1882,90,0.234496,0.273593,0.245100
1882,91,0.261334,0.303472,0.272414
1882,92,0.280884,0.312827,0.289033
1882,93,0.300416,0.330971,0.308060
1882,94,0.349406,0.387942,0.358769
1882,95,0.362742,0.403067,0.372271
1882,96,0.321126,0.351870,0.328184
1882,97,0.332296,0.324451,0.330525
1882,98,0.404259,0.434398,0.411081
1882,99,0.305769,0.379035,0.321683
1882,100,0.427600,0.408931,0.423676
1882,101,0.460955,0.430507,0.454349
1882,102,0.541591,0.539973,0.541239
1882,103,0.591992,0.513302,0.574345
1882,104,0.597195,0.522078,0.579090
1882,105,0.545319,0.548363,0.546069
1882,106,0.556909,0.563707,0.558581
1882,107,0.783806,0.938005,0.820268
1882,108,0.893491,2.138298,1.088186
1883,75,0.067329,0.086377,0.074463
1883,76,0.068333,0.088992,0.075969
1883,77,0.072535,0.095979,0.081088
1883,78,0.084318,0.112637,0.094461
1883,79,0.093991,0.116864,0.102036
1883,80,0.101901,0.134053,0.112995
1883,81,0.109746,0.133153,0.117671
1883,82,0.112850,0.148242,0.124602
1883,83,0.137734,0.173692,0.149406
1883,84,0.131728,0.170328,0.143934
1883,85,0.157491,0.191542,0.167977
1883,86,0.182247,0.210802,0.190857
1883,87,0.198188,0.231337,0.207981
1883,88,0.208232,0.239064,0.217125
1883,89,0.220176,0.259260,0.231189
