Year,Age,Female,Male,Total
1878,81,0.075570,0.098396,0.081792
1878,82,0.107123,0.140556,0.116054
1878,83,0.117726,0.151400,0.126501
1878,84,0.131631,0.163031,0.139617
1878,85,0.140961,0.174030,0.149167
1878,86,0.150304,0.187089,0.159197
1878,87,0.168211,0.209423,0.177886
1878,88,0.183245,0.221747,0.191999
1878,89,0.180110,0.216448,0.188137
1878,90,0.230245,0.270494,0.238873
1878,91,0.195993,0.244570,0.206051
1878,92,0.227098,0.268271,0.235316
1878,93,0.234281,0.262499,0.239758
1878,94,0.255161,0.292436,0.262191
1878,95,0.267379,0.285021,0.270633
1878,96,0.277322,0.283116,0.278380
1878,97,0.284465,0.302103,0.287649
1878,98,0.307282,0.295343,0.305133
1878,99,0.333962,0.358602,0.338392
1878,100,0.344960,0.348687,0.345621
1878,101,0.365309,0.334223,0.359733
1878,102,0.357765,0.394870,0.364509
1878,103,0.362001,0.484031,0.382346
1878,104,0.371671,0.451380,0.384047
1878,105,0.412376,0.498005,0.424551
1878,106,0.427583,0.426316,0.427407
1878,107,0.441228,0.420478,0.438349
1878,108,0.471923,0.467635,0.471310
1878,109,0.528897,0.576606,0.535438
1878,110,0.660408,0.695201,0.664940
1879,80,0.105045,0.129820,0.111982
1879,81,0.073974,0.096036,0.080045
1879,82,0.115936,0.148343,0.124682
1879,83,0.120858,0.153816,0.129542
1879,84,0.122298,0.158623,0.131631
1879,85,0.141028,0.175167,0.149567
1879,86,0.153232,0.191773,0.162609
1879,87,0.168526,0.205407,0.177234
1879,88,0.179416,0.216034,0.187830
1879,89,0.176294,0.221633,0.186394
1879,90,0.223277,0.258724,0.230908
1879,91,0.186421,0.230388,0.195590
1879,92,0.225979,0.270341,0.234922
1879,93,0.239959,0.267158,0.245269
1879,94,0.250046,0.277499,0.255295
1879,95,0.257759,0.292575,0.264257
1879,96,0.284535,0.301480,0.287619
1879,97,0.277406,0.288808,0.279456
1879,98,0.292713,0.283302,0.291024
1879,99,0.332419,0.341420,0.334030
1879,100,0.353672,0.333384,0.350023
1879,101,0.348390,0.385112,0.355040
1879,102,0.351025,0.460315,0.369334
1879,103,0.360436,0.435594,0.372222
1879,104,0.399379,0.476743,0.410580
1879,105,0.416777,0.418049,0.416957
1879,106,0.430020,0.411391,0.427388
1879,107,0.458085,0.450270,0.456950
1879,108,0.514552,0.540500,0.518214
1879,109,0.554770,0.487201,0.544938
1879,110,0.744750,0.774894,0.749121
1880,79,0.060048,0.081517,0.066154
1880,80,0.101444,0.125705,0.108194
1880,81,0.078459,0.100365,0.084453
1880,82,0.115959,0.147006,0.124293
1880,83,0.112501,0.144222,0.120821
1880,84,0.122870,0.157984,0.131852
1880,85,0.142424,0.175418,0.150651
1880,86,0.152869,0.190411,0.161989
1880,87,0.166285,0.194145,0.172885
1880,88,0.177903,0.216480,0.186816
1880,89,0.179288,0.228592,0.190296
1880,90,0.215292,0.247847,0.222330
1880,91,0.194833,0.225801,0.201356
1880,92,0.235701,0.273361,0.243422
1880,93,0.238846,0.262621,0.243609
1880,94,0.250309,0.288438,0.257763
