Year,Age,Female,Male,Total
1874,76,0.076315,0.085237,0.080235
1874,77,0.081033,0.082392,0.081628
1874,78,0.093404,0.101733,0.097035
1874,79,0.114632,0.115367,0.114951
1874,80,0.114493,0.120814,0.117198
1874,81,0.118502,0.145712,0.130049
1874,82,0.146707,0.160851,0.152638
1874,83,0.162688,0.174639,0.167661
1874,84,0.170084,0.187141,0.177105
1874,85,0.190443,0.187414,0.189201
1874,86,0.192077,0.195821,0.193615
1874,87,0.230311,0.254588,0.240204
1874,88,0.248159,0.249037,0.248514
1874,89,0.259326,0.282158,0.268469
1874,90,0.272388,0.324371,0.292696
1874,91,0.262034,0.300351,0.276812
1874,92,0.346142,0.353526,0.348902
1874,93,0.342049,0.369982,0.352383
1874,94,0.384930,0.572938,0.451205
1874,95,0.383569,0.517613,0.425551
1874,96,0.452193,0.392390,0.434429
1874,97,0.260813,0.499076,0.327903
1874,98,0.401938,0.427350,0.408688
1874,99,0.799600,0.407240,0.694022
1874,100,0.647323,0.395248,0.556048
1874,101,0.557823,0.249067,0.419624
1874,102,0.630319,0.645681,0.637631
1874,103,0.803419,1.195730,0.977848
1874,104,0.717391,3.000000,1.116592
1875,75,0.065484,0.084754,0.073766
1875,76,0.070560,0.087954,0.077952
1875,77,0.091219,0.106439,0.097630
1875,78,0.093001,0.110979,0.100522
1875,79,0.103340,0.098434,0.101298
1875,80,0.119356,0.120282,0.119745
1875,81,0.121534,0.137426,0.128192
1875,82,0.141072,0.153215,0.146114
1875,83,0.171829,0.196102,0.181778
1875,84,0.152057,0.197421,0.170377
1875,85,0.175153,0.200233,0.185045
1875,86,0.211242,0.264210,0.231709
1875,87,0.195372,0.259589,0.219101
1875,88,0.221770,0.245789,0.230407
1875,89,0.233459,0.273595,0.247639
1875,90,0.258004,0.310100,0.275913
1875,91,0.342143,0.320774,0.334987
1875,92,0.339445,0.360392,0.346505
1875,93,0.313070,0.420264,0.348161
1875,94,0.374495,0.450450,0.397286
1875,95,0.483738,0.324807,0.434445
1875,96,0.444028,0.521579,0.469265
1875,97,0.459102,0.334501,0.418670
1875,98,0.571864,0.262123,0.457942
1875,99,0.321268,0.566394,0.420543
1875,100,0.489348,0.296584,0.415994
1875,101,0.513625,0.528583,0.519553
1875,102,0.548446,0.764618,0.630324
1875,103,0.634259,0.586093,0.618947
1875,104,1.369295,0.681818,1.059226
1875,105,3.000000,3.000000,3.000000
1876,74,0.063807,0.075539,0.068853
1876,75,0.067535,0.076994,0.071582
1876,76,0.085974,0.092686,0.088833
1876,77,0.098947,0.109823,0.103553
1876,78,0.096646,0.102135,0.098966
1876,79,0.105863,0.114507,0.109499
1876,80,0.116718,0.137039,0.125242
1876,81,0.127467,0.145457,0.134918
1876,82,0.145857,0.146443,0.146099
1876,83,0.145360,0.170949,0.155833
1876,84,0.167567,0.179162,0.172258
1876,85,0.192496,0.223306,0.204829
1876,86,0.219992,0.237289,0.226798
1876,87,0.201410,0.232670,0.213543
1876,88,0.209344,0.232927,0.218324
1876,89,0.261028,0.335068,0.288473
1876,90,0.317020,0.298881,0.310436
1876,91,0.290381,0.374075,0.320083
1876,92,0.372962,0.391214,0.379253
1876,93,0.326743,0.552767,0.399652
1876,94,0.315080,0.426810,0.346925
1876,95,0.370512,0.411029,0.380869
1876,96,0.368535,0.495050,0.400191
1876,97,0.372509,0.347625,0.366455
1876,98,0.718226,0.335383,0.614334
1876,99,0.403303,0.116369,0.308285
1876,100,0.507594,0.489245,0.500662
1876,101,0.542536,0.653571,0.584142
1876,102,0.628159,0.639432,0.631957
1876,103,1.333333,0.888889,1.150000
1876,104,3.000000,3.000000,3.000000
1877,73,0.063596,0.062693,0.063198
1877,74,0.063710,0.066621,0.064993
1877,75,0.079151,0.085359,0.081870
1877,76,0.085892,0.091391,0.088284
1877,77,0.081481,0.081593,0.081530
1877,78,0.090062,0.093880,0.091708
1877,79,0.107030,0.120883,0.112962
1877,80,0.112638,0.127718,0.118981
1877,81,0.138897,0.131353,0.135739
1877,82,0.143299,0.146434,0.144614
1877,83,0.150889,0.166534,0.157415
1877,84,0.175423,0.186756,0.180122
1877,85,0.189030,0.203475,0.194976
1877,86,0.190655,0.229459,0.206359
1877,87,0.209051,0.237262,0.220247
1877,88,0.240568,0.296486,0.262221
1877,89,0.213386,0.297397,0.244462
1877,90,0.295909,0.300307,0.297488
1877,91,0.357589,0.259563,0.321464
1877,92,0.268376,0.362048,0.303177
1877,93,0.359203,0.398271,0.373074
1877,94,0.413708,0.333292,0.384888
1877,95,0.416536,0.425960,0.420021
1877,96,0.456299,0.480996,0.465325
1877,97,0.365586,0.205395,0.305935
1877,98,0.511634,0.461272,0.492097
1877,99,0.561447,0.249792,0.427960
1877,100,0.499421,0.596429,0.547270
1877,101,0.548667,0.547238,0.548009
1877,102,0.975806,0.669975,0.816774
1877,103,1.466368,1.539033,1.506098
1877,104,3.000000,3.000000,3.000000
1878,72,0.058459,0.060656,0.059440
1878,73,0.054881,0.060836,0.057524
1878,74,0.072283,0.085112,0.077916
1878,75,0.079525,0.081265,0.080281
1878,76,0.080397,0.084039,0.081969
1878,77,0.086075,0.094728,0.089776
1878,78,0.092961,0.100545,0.096161
1878,79,0.108552,0.117861,0.112435
1878,80,0.109984,0.123699,0.115520
1878,81,0.117670,0.132391,0.123558
1878,82,0.136730,0.141771,0.138734
1878,83,0.151442,0.181707,0.163359
1878,84,0.171800,0.174584,0.172883
1878,85,0.175040,0.200768,0.184970
1878,86,0.176763,0.229002,0.196354
1878,87,0.230494,0.248212,0.237019
1878,88,0.248912,0.256428,0.251669
1878,89,0.267770,0.226021,0.252328
1878,90,0.259009,0.333710,0.286530
1878,91,0.321245,0.308466,0.316645
1878,92,0.305344,0.354017,0.322729
1878,93,0.344222,0.401817,0.363776
1878,94,0.367253,0.293723,0.341861
1878,95,0.349224,0.540024,0.412203
1878,96,0.471464,0.496254,0.478858
1878,97,0.553977,0.456135,0.522825
1878,98,0.371622,0.359109,0.367619
1878,99,0.485437,0.091547,0.348948
1878,100,0.489505,0.524603,0.503813
1878,101,0.785906,0.620760,0.712871
1878,102,0.881679,1.182594,1.010204
1878,103,0.940439,2.136364,1.290466
1879,71,0.043628,0.051011,0.046988
1879,72,0.051198,0.057151,0.053890
1879,73,0.058605,0.065110,0.061527
1879,74,0.072194,0.073651,0.072845
1879,75,0.070814,0.074419,0.072418
1879,76,0.077215,0.081175,0.078967
1879,77,0.096908,0.090428,0.094050
1879,78,0.093014,0.101972,0.096947
1879,79,0.100908,0.110007,0.104861
1879,80,0.113372,0.127346,0.119228
1879,81,0.119448,0.127682,0.122868
1879,82,0.156063,0.159134,0.157338
1879,83,0.137013,0.152487,0.143397
1879,84,0.149366,0.148174,0.148876
1879,85,0.159751,0.179938,0.167999
1879,86,0.211763,0.226031,0.217515
1879,87,0.243121,0.268710,0.253359
1879,88,0.259449,0.262412,0.260622
1879,89,0.265206,0.281818,0.271745
1879,90,0.266861,0.337271,0.293953
1879,91,0.300558,0.369454,0.325924
1879,92,0.263610,0.323405,0.284663
1879,93,0.338731,0.413399,0.364019
1879,94,0.294025,0.541886,0.369283
1879,95,0.411816,0.369818,0.399993
1879,96,0.373107,0.567644,0.423326
1879,97,0.300982,0.237605,0.285137
1879,98,0.411909,0.445576,0.420463
1879,99,0.680272,0.289110,0.570084
1879,100,0.714961,0.580786,0.667859
1879,101,0.784169,0.982533,0.852171
1879,102,0.775990,1.275974,0.913978
1879,103,1.188679,3.000000,1.395543
1880,70,0.042597,0.040622,0.041695
1880,71,0.045270,0.046975,0.046045
1880,72,0.055617,0.057704,0.056559
1880,73,0.060919,0.065851,0.063129
1880,74,0.057793,0.067988,0.062316
1880,75,0.069148,0.061705,0.065871
1880,76,0.072741,0.082871,0.077165
1880,77,0.085303,0.088339,0.086614
1880,78,0.091765,0.097432,0.094186
1880,79,0.098940,0.106277,0.102031
1880,80,0.110589,0.128387,0.117925
1880,81,0.126181,0.150129,0.135917
1880,82,0.134466,0.152492,0.141696
1880,83,0.141485,0.158989,0.148437
1880,84,0.167586,0.174038,0.170128
1880,85,0.174508,0.232155,0.196806
1880,86,0.201912,0.208380,0.204359
1880,87,0.206564,0.263099,0.227676
1880,88,0.227867,0.246612,0.234657
1880,89,0.278269,0.273557,0.276570
1880,90,0.309112,0.338891,0.319751
1880,91,0.314067,0.314208,0.314117
1880,92,0.291759,0.350461,0.312146
1880,93,0.319934,0.360259,0.333596
1880,94,0.452586,0.408990,0.437996
1880,95,0.453686,0.391157,0.431983
1880,96,0.440313,0.640490,0.509403
1880,97,0.573090,0.370175,0.508101
1880,98,0.538674,0.477074,0.517570
1880,99,0.276498,0.216372,0.253058
1880,100,0.640295,0.816850,0.704819
1880,101,0.556266,0.891892,0.660344
1880,102,0.621281,1.371795,0.779783
1880,103,0.750000,3.000000,0.890323
1881,69,0.038040,0.038776,0.038367
1881,70,0.034942,0.041641,0.037903
1881,71,0.047916,0.050279,0.048954
1881,72,0.054381,0.057611,0.055791
1881,73,0.052369,0.056011,0.053949
1881,74,0.064723,0.071824,0.067781
1881,75,0.070370,0.078209,0.073716
1881,76,0.073785,0.084117,0.078144
1881,77,0.083749,0.086693,0.084978
1881,78,0.085714,0.097192,0.090457
1881,79,0.098287,0.099043,0.098596
1881,80,0.114829,0.131105,0.121299
1881,81,0.116049,0.125733,0.119863
1881,82,0.129684,0.141022,0.134118
1881,83,0.132120,0.147828,0.138225
1881,84,0.157793,0.191018,0.170522
1881,85,0.198484,0.208341,0.202203
1881,86,0.188939,0.204314,0.194717
1881,87,0.215964,0.226972,0.220035
1881,88,0.252331,0.260925,0.255495
1881,89,0.261915,0.269781,0.264800
