Year,Age,Female,Male,Total
1904,79,0.091839,0.139267,0.107932
1904,80,0.094023,0.129893,0.105747
1904,81,0.100125,0.152982,0.116898
1904,82,0.118303,0.155150,0.129631
1904,83,0.107664,0.171623,0.126702
1904,84,0.129658,0.167719,0.140543
1904,85,0.152456,0.174394,0.158579
1904,86,0.154703,0.198454,0.166638
1904,87,0.191791,0.224211,0.200437
1904,88,0.179551,0.253691,0.198541
1904,89,0.194064,0.244845,0.206507
1904,90,0.225327,0.268156,0.235421
1904,91,0.246366,0.265988,0.250882
1904,92,0.297543,0.358566,0.311059
1904,93,0.280726,0.332410,0.291862
1904,94,0.338753,0.307087,0.332108
1904,95,0.316726,0.308108,0.314907
1904,96,0.438917,0.465116,0.444481
1904,97,0.341286,0.450000,0.363224
1904,98,0.375957,0.214286,0.342605
1904,99,0.427263,0.631579,0.469129
1904,100,0.354855,0.571429,0.391997
1904,101,0.400297,1.333333,0.510137
1904,102,0.462046,1.500000,0.505796
1905,78,0.077771,0.122939,0.093477
1905,79,0.079481,0.117266,0.092274
1905,80,0.089306,0.135165,0.104145
1905,81,0.103577,0.149651,0.118040
1905,82,0.117816,0.135798,0.123336
1905,83,0.110486,0.156751,0.124355
1905,84,0.130770,0.173960,0.143334
1905,85,0.143871,0.177562,0.153390
1905,86,0.161375,0.205716,0.173551
1905,87,0.161982,0.200424,0.172217
1905,88,0.201807,0.236323,0.210755
1905,89,0.193780,0.216356,0.199485
1905,90,0.209002,0.255816,0.220553
1905,91,0.250306,0.310693,0.264774
1905,92,0.241209,0.365299,0.268673
1905,93,0.291515,0.450238,0.323053
1905,94,0.284782,0.389931,0.303226
1905,95,0.373537,0.266572,0.354486
1905,96,0.262013,0.404006,0.286828
1905,97,0.406364,0.507746,0.422491
1905,98,0.435048,0.384533,0.427392
1905,99,0.426040,0.520653,0.439346
1905,100,0.444280,0.318979,0.425700
1905,101,0.434531,0.917431,0.494610
1905,102,0.456125,0.516351,0.462874
1905,103,0.443787,1.067616,0.502513
1905,104,0.410005,1.500000,0.439538
1906,77,0.061766,0.102454,0.076137
1906,78,0.072505,0.101407,0.082505
1906,79,0.074975,0.119613,0.090020
1906,80,0.084633,0.135543,0.100989
1906,81,0.101767,0.140309,0.113778
1906,82,0.088713,0.142563,0.104977
1906,83,0.107160,0.150699,0.119850
1906,84,0.116070,0.162639,0.129199
