Year,Age,Female,Male,Total
1878,81,0.070978,0.092288,0.077754
1878,82,0.101364,0.124164,0.108505
1878,83,0.112279,0.143852,0.121989
1878,84,0.129621,0.172005,0.142319
1878,85,0.136330,0.159769,0.143187
1878,86,0.147797,0.181359,0.157426
1878,87,0.159016,0.194915,0.169056
1878,88,0.177482,0.212705,0.187070
1878,89,0.180117,0.217119,0.189932
1878,90,0.219398,0.249056,0.227083
1878,91,0.193923,0.240075,0.205559
1878,92,0.225967,0.260336,0.234357
1878,93,0.248015,0.288409,0.257593
1878,94,0.243405,0.289511,0.253968
1878,95,0.260502,0.305326,0.270416
1878,96,0.279317,0.304320,0.284715
1878,97,0.278236,0.335630,0.290184
1878,98,0.335374,0.295076,0.327100
1878,99,0.342501,0.371697,0.348565
1878,100,0.358659,0.350818,0.357035
1878,101,0.414315,0.436312,0.418854
1878,102,0.398696,0.528276,0.424105
1878,103,0.372900,0.583148,0.408016
1878,104,0.397458,0.524191,0.415899
1878,105,0.409838,0.555924,0.428795
1878,106,0.412385,0.633693,0.436803
1878,107,0.394489,0.666667,0.418266
1878,108,0.383434,0.750000,0.407712
1878,109,0.422266,1.266667,0.454654
1878,110,0.643074,3.000000,0.653264
1879,80,0.098822,0.115177,0.104100
1879,81,0.069252,0.088919,0.075517
1879,82,0.109984,0.139782,0.119330
1879,83,0.113861,0.148178,0.124379
1879,84,0.122972,0.162647,0.134823
1879,85,0.137013,0.165170,0.145225
1879,86,0.150419,0.187488,0.160976
1879,87,0.163145,0.195375,0.172091
1879,88,0.173494,0.213472,0.184327
1879,89,0.181685,0.214483,0.190319
1879,90,0.219004,0.276005,0.233553
1879,91,0.187849,0.240456,0.200666
1879,92,0.223844,0.255774,0.231369
1879,93,0.239963,0.292853,0.252067
1879,94,0.241567,0.290198,0.252250
1879,95,0.254610,0.287488,0.261579
1879,96,0.280399,0.347873,0.294190
1879,97,0.276142,0.292763,0.279394
1879,98,0.320772,0.310935,0.318832
1879,99,0.344032,0.345435,0.344308
1879,100,0.393921,0.423238,0.399623
1879,101,0.382971,0.502073,0.404950
1879,102,0.361815,0.542550,0.390740
1879,103,0.384134,0.492581,0.399548
1879,104,0.398630,0.519285,0.414199
1879,105,0.405662,0.578246,0.425220
1879,106,0.390435,0.579372,0.408451
1879,107,0.379415,0.589165,0.396274
1879,108,0.417529,0.737850,0.437437
1879,109,0.511104,0.948980,0.530224
1879,110,0.720990,2.050633,0.736554
1880,79,0.053214,0.072196,0.059381
1880,80,0.093121,0.111731,0.099170
1880,81,0.074839,0.093840,0.080938
1880,82,0.109740,0.138486,0.118812
1880,83,0.103249,0.129676,0.111434
1880,84,0.121716,0.157327,0.132520
1880,85,0.132367,0.162464,0.141289
1880,86,0.146345,0.184039,0.157262
1880,87,0.158522,0.189511,0.167278
1880,88,0.170580,0.218898,0.183842
1880,89,0.180281,0.223949,0.191881
1880,90,0.210452,0.264060,0.224142
1880,91,0.190476,0.237925,0.202181
1880,92,0.233117,0.254908,0.238343
1880,93,0.233844,0.284491,0.245660
1880,94,0.238402,0.287499,0.249423
1880,95,0.269423,0.313606,0.279003
1880,96,0.295382,0.334486,0.303522
1880,97,0.286552,0.287227,0.286691
1880,98,0.326681,0.336836,0.328750
1880,99,0.373896,0.410106,0.381187
1880,100,0.367121,0.477688,0.388233
1880,101,0.350201,0.507931,0.376773
1880,102,0.370603,0.467946,0.385393
1880,103,0.386997,0.495187,0.402078
1880,104,0.398149,0.548314,0.416849
1880,105,0.385403,0.544004,0.402466
1880,106,0.374473,0.535593,0.389615
1880,107,0.411979,0.628999,0.428936
1880,108,0.498225,0.692308,0.510687
1880,109,0.592517,0.885387,0.607811
1880,110,0.834101,2.062500,0.855437
1881,78,0.086388,0.114901,0.095698
1881,79,0.063415,0.088634,0.071532
1881,80,0.100643,0.122198,0.107778
1881,81,0.074758,0.098308,0.082434
1881,82,0.101207,0.122159,0.107932
1881,83,0.104393,0.124791,0.110849
1881,84,0.120593,0.150945,0.130032
1881,85,0.129120,0.152813,0.136349
1881,86,0.144043,0.181559,0.155255
1881,87,0.154309,0.186585,0.163718
1881,88,0.177883,0.224332,0.191062
1881,89,0.172106,0.221141,0.185533
1881,90,0.209402,0.240992,0.217800
1881,91,0.197086,0.236214,0.207199
1881,92,0.223141,0.249324,0.229756
1881,93,0.232460,0.284665,0.245280
1881,94,0.249265,0.313727,0.264412
1881,95,0.276444,0.324852,0.287251
1881,96,0.296465,0.317036,0.300950
1881,97,0.291849,0.322469,0.298368
1881,98,0.333920,0.325450,0.332134
1881,99,0.350948,0.453528,0.371938
1881,100,0.337845,0.475387,0.363077
1881,101,0.356504,0.444142,0.371209
1881,102,0.374398,0.471773,0.389533
1881,103,0.388912,0.520758,0.407491
1881,104,0.378131,0.512438,0.394847
1881,105,0.366983,0.492131,0.380971
1881,106,0.402820,0.552008,0.417408
1881,107,0.479708,0.556962,0.486478
1881,108,0.560188,0.584665,0.562248
1881,109,0.644890,0.722449,0.651144
1881,110,0.927181,1.400881,0.951686
1882,77,0.052876,0.071143,0.059064
1882,78,0.071884,0.092949,0.078929
1882,79,0.059383,0.081354,0.066628
